Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,1541.199951,1582.660034,1541.199951,1581.959961,1581.959961,3686920000
2020-10-06,1584.489990,1619.209961,1577.290039,1577.290039,1577.290039,4443380000
2020-10-07,1581.119995,1614.609985,1581.119995,1611.040039,1611.040039,3807830000
2020-10-08,1615.270020,1630.329956,1615.270020,1628.550049,1628.550049,3856190000
2020-10-09,1630.709961,1645.040039,1630.709961,1637.550049,1637.550049,3939060000
2020-10-12,1642.459961,1652.050049,1637.349976,1649.050049,1649.050049,3428970000
2020-10-13,1647.569946,1647.569946,1631.599976,1636.849976,1636.849976,3605150000
2020-10-14,1637.969971,1647.989990,1621.560059,1621.650024,1621.650024,3840630000
2020-10-15,1618.880005,1641.000000,1598.489990,1638.880005,1638.880005,3717640000
2020-10-16,1638.479980,1646.250000,1633.800049,1633.810059,1633.810059,4675890000
2020-10-19,1636.839966,1647.050049,1612.219971,1613.630005,1613.630005,4086200000
2020-10-20,1620.569946,1632.760010,1615.989990,1617.709961,1617.709961,3901260000
2020-10-21,1618.339966,1621.880005,1603.770020,1603.780029,1603.780029,4097750000
2020-10-22,1604.949951,1631.969971,1603.959961,1630.250000,1630.250000,4163630000
2020-10-23,1634.060059,1641.479980,1626.319946,1640.500000,1640.500000,3646570000
2020-10-26,1635.219971,1635.219971,1586.890015,1605.209961,1605.209961,3988080000
2020-10-27,1605.680054,1609.530029,1590.709961,1590.709961,1590.709961,3946990000
2020-10-28,1586.770020,1586.770020,1542.540039,1543.280029,1543.280029,5129860000
2020-10-29,1543.060059,1566.390015,1532.229980,1561.579956,1561.579956,4903070000
2020-10-30,1559.689941,1559.689941,1526.219971,1538.479980,1538.479980,4840450000
2020-11-02,1540.859985,1568.589966,1540.859985,1568.589966,1568.589966,4310590000
2020-11-03,1571.949951,1620.770020,1571.949951,1614.300049,1614.300049,4220070000
2020-11-04,1612.979980,1631.310059,1598.560059,1615.079956,1615.079956,4783040000
2020-11-05,1616.650024,1664.119995,1616.650024,1660.050049,1660.050049,4841190000
2020-11-06,1660.780029,1667.150024,1648.260010,1648.260010,1648.260010,4833950000
2020-11-09,1652.109985,1745.689941,1652.109985,1705.040039,1705.040039,8556610000
2020-11-10,1706.449951,1741.829956,1706.449951,1737.010010,1737.010010,6024230000
2020-11-11,1738.880005,1746.310059,1722.219971,1736.939941,1736.939941,4609970000
2020-11-12,1735.989990,1735.989990,1696.650024,1708.469971,1708.469971,4890120000
2020-11-13,1710.050049,1749.359985,1710.050049,1744.040039,1744.040039,4709670000
2020-11-16,1747.020020,1785.339966,1747.020020,1785.339966,1785.339966,5281980000
2020-11-17,1783.089966,1795.890015,1755.339966,1791.910034,1791.910034,4799570000
2020-11-18,1792.760010,1805.199951,1769.319946,1769.319946,1769.319946,5274450000
2020-11-19,1769.250000,1784.640015,1764.199951,1784.130005,1784.130005,4347200000
2020-11-20,1782.150024,1787.390015,1771.130005,1785.339966,1785.339966,4218970000
2020-11-23,1787.239990,1827.599976,1787.239990,1818.300049,1818.300049,5036290000
2020-11-24,1819.520020,1862.170044,1819.520020,1853.530029,1853.530029,6267570000
2020-11-25,1852.619995,1852.619995,1831.949951,1845.020020,1845.020020,4902560000
2020-11-27,1846.260010,1855.270020,1845.500000,1855.270020,1855.270020,2778450000
2020-11-30,1854.869995,1854.869995,1813.560059,1819.819946,1819.819946,6291400000
2020-12-01,1822.920044,1848.020020,1822.920044,1836.050049,1836.050049,5403660000
2020-12-02,1833.079956,1842.530029,1817.020020,1838.030029,1838.030029,5029620000
2020-12-03,1838.520020,1860.349976,1838.520020,1848.699951,1848.699951,5091760000
2020-12-04,1849.979980,1892.449951,1849.979980,1892.449951,1892.449951,5086370000
2020-12-07,1892.719971,1897.439941,1886.780029,1891.250000,1891.250000,4788560000
2020-12-08,1890.569946,1918.010010,1881.699951,1917.780029,1917.780029,4549670000
2020-12-09,1919.160034,1935.270020,1889.329956,1902.150024,1902.150024,5209940000
2020-12-10,1901.339966,1924.119995,1887.689941,1922.699951,1922.699951,4618240000
2020-12-11,1921.270020,1926.729980,1896.020020,1911.699951,1911.699951,4367150000
2020-12-14,1914.150024,1944.119995,1913.859985,1913.859985,1913.859985,4594920000
2020-12-15,1915.900024,1960.810059,1915.900024,1959.760010,1959.760010,4360280000
2020-12-16,1961.260010,1966.109985,1947.050049,1952.719971,1952.719971,4056950000
2020-12-17,1953.760010,1978.050049,1953.760010,1978.050049,1978.050049,4184930000
2020-12-18,1978.890015,1992.719971,1965.670044,1969.989990,1969.989990,7068340000
2020-12-21,1967.930054,1970.670044,1934.660034,1970.329956,1970.329956,4732160000
2020-12-22,1971.180054,1992.500000,1971.180054,1989.880005,1989.880005,4023940000
2020-12-23,1991.099976,2011.839966,1991.099976,2007.099976,2007.099976,3772630000
2020-12-24,2013.180054,2013.969971,1997.180054,2003.949951,2003.949951,1885090000
2020-12-28,2013.489990,2026.239990,1996.250000,1996.250000,1996.250000,3527460000
2020-12-29,1996.729980,2001.699951,1950.819946,1959.359985,1959.359985,3387030000
2020-12-30,1961.719971,1987.780029,1961.719971,1979.989990,1979.989990,3145200000
2020-12-31,1979.930054,1981.410034,1963.260010,1974.859985,1974.859985,3172510000
2021-01-04,1975.780029,1990.699951,1927.150024,1945.910034,1945.910034,5006680000
2021-01-05,1945.790039,1988.760010,1943.689941,1979.109985,1979.109985,4582620000
2021-01-06,1980.290039,2079.719971,1980.290039,2057.919922,2057.919922,6049970000
2021-01-07,2059.330078,2099.260010,2059.330078,2096.889893,2096.889893,5080870000
2021-01-08,2098.449951,2113.879883,2064.610107,2091.659912,2091.659912,4764180000
2021-01-11,2088.800049,2095.399902,2061.639893,2091.010010,2091.010010,4450500000
2021-01-12,2091.790039,2128.389893,2091.790039,2127.959961,2127.959961,4977210000
2021-01-13,2128.169922,2131.419922,2109.719971,2111.969971,2111.969971,4590420000
2021-01-14,2113.620117,2164.320068,2113.620117,2155.350098,2155.350098,5180140000
2021-01-15,2154.689941,2154.689941,2102.530029,2123.199951,2123.199951,5353060000
2021-01-19,2125.510010,2152.350098,2125.510010,2151.139893,2151.139893,4982940000
2021-01-20,2152.300049,2173.729980,2149.989990,2160.620117,2160.620117,4551790000
2021-01-21,2161.300049,2167.030029,2138.030029,2141.419922,2141.419922,4484460000
2021-01-22,2140.479980,2168.800049,2118.770020,2168.760010,2168.760010,5080430000
2021-01-25,2168.719971,2194.860107,2135.219971,2163.270020,2163.270020,6955860000
2021-01-26,2165.459961,2183.010010,2146.340088,2149.860107,2149.860107,6029090000
2021-01-27,2146.659912,2146.659912,2088.010010,2108.699951,2108.699951,9878040000
