AUDNZD
GBPCHF
CHFJPY
AUDCAD
GBPAUD
EURCHF
EURGBP
EURCAD
AUDJPY
NZDUSD
EURAUD
CADJPY
USDCHF
GBPJPY
USDCAD
EURJPY
AUDUSD
USDJPY
GBPUSD
EURUSD
LEAD
PLATINUM
CORN
OIL_BRENT
SP35
SG25
NL25
AU200
IT40
SW20
9988
MSFT
AMD
AMZN
GME
BTCUSD
UKSUGAR
USCOCOA
ECFZ22
COFFEEARABICA
COPPER
SILVER
VIX
NIFTY50
CN50
RTY
FR40
EU50
UK100
J225
US500
HK50
US100
US30
USCOTTON
SOYBEAN
DE40
GOLD
OIL_CRUDE
ETHUSD
