STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,CLOSED
531,24,0.5,0.04519774011299435,73.07692307692307,78.0,85.59133848607539,90.95465937571208,1.5,2,0.117999999999995
692,15,0.6,0.02167630057803468,68.88888888888889,44.99999999999999,88.33217927883383,96.66501801738168,2,3.0,-0.13500000000001933
554,18,0.3888888888888889,0.032490974729241874,64.28571428571429,28.000000000000004,83.30359663865576,91.45411764705925,2,2.5,-0.7989999999999924
554,23,0.34782608695652173,0.04151624548736462,50.0,36.0,79.01788235294148,91.45411764705925,2,2.5,-0.4350000000000023
554,23,0.34782608695652173,0.04151624548736462,38.88888888888889,36.0,78.46117667179763,95.4207285787585,2,2.5,-0.6680000000000064
555,6,0.3333333333333333,0.010810810810810811,33.33333333333333,3.0000000000000027,80.0,100.0,2,2.5,-0.7160000000000082
555,11,0.2727272727272727,0.01981981981981982,16.666666666666664,6.000000000000005,75.0,100.0,2,2.5,-0.6669999999999874
503,17,0.35294117647058826,0.033797216699801194,66.66666666666666,20.999999999999996,83.44529262086587,90.63613231552267,2,2.5,-0.3149999999999977
499,25,0.28,0.050100200400801605,35.714285714285715,28.000000000000004,80.71428571428571,100.0,2,2.5,-0.24800000000000466
579,54,0.25925925925925924,0.09326424870466321,72.38095238095238,95.0,84.22086975766346,89.29512006196822,1.5,2.5,0.1640000000000157
776,32,0.3125,0.041237113402061855,81.81818181818183,55.00000000000001,94.54545454545455,100.0,2,2.5,0.04599999999999227
613,30,0.6333333333333333,0.048939641109298535,71.57894736842105,9.999999999999998,91.47368421052632,100.0,2,3.0,0.05899999999998329
577,13,0.6923076923076923,0.022530329289428077,80.0,44.99999999999999,94.0,100.0,1.5,2.5,-0.26200000000001467
568,10,0.6,0.017605633802816902,57.14285714285714,20.999999999999996,86.77611454604647,99.47608200455619,2,2.5,0.04999999999999716
568,12,0.5833333333333334,0.02112676056338028,42.857142857142854,28.000000000000004,80.18974197608775,96.18942731277842,2,2.5,0.05700000000000216
613,16,0.75,0.026101141924959218,60.256410256410255,78.0,81.90432642964299,91.18200478959989,1.5,2.0,-0.05699999999998795
741,27,0.7777777777777778,0.03643724696356275,73.16017316017316,-31.000000000000007,73.76644879430717,74.02628120893603,1.5,2.0,-0.0030000000000001137
742,11,0.9090909090909091,0.014824797843665768,72.72727272727273,55.00000000000001,87.93660287081347,94.45488721804523,1.5,2.0,-0.17799999999998306
646,38,0.2631578947368421,0.058823529411764705,50.0,9.999999999999998,78.14524936294133,90.20749908991618,1.5,2.5,0.16799999999997794
610,27,0.5555555555555556,0.04426229508196721,86.66666666666667,80.0,95.76572133168926,99.66531618812752,1.5,2.5,0.06500000000001194
610,30,0.5333333333333333,0.04918032786885246,76.47058823529412,64.0,92.7068978022775,99.66531618812752,1.5,2.5,0.09499999999999886
610,32,0.53125,0.05245901639344262,67.97385620915033,47.0,90.15787819443437,99.66531618812752,1.5,2.5,0.05299999999999727
610,31,0.5483870967741935,0.05081967213114754,58.82352941176471,47.0,87.36684251620446,99.59969098953577,1.5,2.5,0.12600000000000477
610,34,0.5588235294117647,0.05573770491803279,54.736842105263165,9.999999999999998,86.18677396326822,99.66531618812752,1.5,2.5,0.09099999999999397
599,12,0.4166666666666667,0.02003338898163606,50.0,6.000000000000005,85.0,100.0,1.5,2.5,-0.1150000000000091
603,38,0.42105263157894735,0.06301824212271974,30.0,9.999999999999998,76.51399052948746,96.4485578992678,1.5,2.5,-0.4310000000000116
533,38,0.3157894736842105,0.07129455909943715,84.61538461538461,78.0,95.38461538461539,100.0,2,3.0,0.1979999999999933
688,122,0.23770491803278687,0.17732558139534885,64.44444444444444,44.99999999999999,85.44536620052136,94.44576123884003,2,3.0,0.2020000000000124
710,136,0.21323529411764705,0.19154929577464788,66.4367816091954,-235.0,77.8376775593294,82.72377582367254,2,3.0,0.125
708,121,0.19834710743801653,0.1709039548022599,63.0,-100.0,74.75878179903542,79.79825971290775,2,3.0,-0.0840000000000174
708,23,0.2608695652173913,0.03248587570621469,71.42857142857143,20.999999999999996,91.42857142857142,100.0,2,3.0,0.16100000000000136
