STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,CLOSED
548,10,0.6,0.01824817518248175,71.42857142857143,20.999999999999996,91.42857142857142,100.0,1.5,2.5,0.05700000000001637
702,21,0.6666666666666666,0.029914529914529916,71.11111111111111,44.99999999999999,87.3533102830075,94.3142527852488,1.5,2.5,0.058000000000021146
623,83,0.4457831325301205,0.1332263242375602,64.16666666666667,80.0,76.4991055456175,81.78443649373928,2,2.5,0.08099999999998886
514,30,0.5,0.058365758754863814,60.0,15.000000000000002,81.57641311933048,90.82344731332927,1.5,2.5,-0.3990000000000009
616,10,0.7,0.016233766233766232,46.666666666666664,15.000000000000002,78.24987702901993,91.7855386128856,2,3.0,-0.24399999999999977
721,33,0.2727272727272727,0.04576976421636616,75.55555555555556,44.99999999999999,90.93200857198481,97.52191700759735,2,3.0,0.36099999999999
716,20,0.3,0.027932960893854747,71.42857142857143,20.999999999999996,91.42857142857142,100.0,1.5,2.5,0.09399999999999409
716,37,0.32432432432432434,0.051675977653631286,57.692307692307686,78.0,82.1271457884985,92.59921925829457,1.5,2.5,0.24500000000000455
784,39,0.20512820512820512,0.04974489795918367,61.111111111111114,36.0,82.72398441847353,91.98664440734315,2,2.5,0.2220000000000084
782,49,0.1836734693877551,0.06265984654731457,80.0,44.99999999999999,94.0,100.0,2,2.5,0.23600000000001842
788,47,0.2127659574468085,0.05964467005076142,65.45454545454545,55.00000000000001,89.63636363636364,100.0,2,2.5,0.14799999999999613
789,25,0.16,0.031685678073510776,50.0,9.999999999999998,75.76855895196383,86.81222707423403,2,2.5,-0.13900000000001
667,22,0.45454545454545453,0.03298350824587706,58.18181818181818,55.00000000000001,80.09549802934673,89.48707510685897,1.5,2.5,0.06299999999998818
