FREQUENCY_RATE,<class '__main__.MovingAverage'>_VALUE,<class '__main__.MovingAverage'>_SPEED,<class '__main__.MovingAverage'>_ACC,<class '__main__.MovingAverage'>_WEIGHT,<class '__main__.MovingAverage'>_PARAMETER,<class '__main__.MAMA'>_VALUE,<class '__main__.MAMA'>_SPEED,<class '__main__.MAMA'>_ACC,<class '__main__.MAMA'>_WEIGHT,<class '__main__.MAMA'>_PARAMETER,<class '__main__.FAMA'>_VALUE,<class '__main__.FAMA'>_SPEED,<class '__main__.FAMA'>_ACC,<class '__main__.FAMA'>_WEIGHT,<class '__main__.FAMA'>_PARAMETER,<class '__main__.TRIMA'>_VALUE,<class '__main__.TRIMA'>_SPEED,<class '__main__.TRIMA'>_ACC,<class '__main__.TRIMA'>_WEIGHT,<class '__main__.TRIMA'>_PARAMETER,<class '__main__.EMA'>_VALUE,<class '__main__.EMA'>_SPEED,<class '__main__.EMA'>_ACC,<class '__main__.EMA'>_WEIGHT,<class '__main__.EMA'>_PARAMETER,<class '__main__.ATR'>_VALUE,<class '__main__.ATR'>_SPEED,<class '__main__.ATR'>_ACC,<class '__main__.ATR'>_WEIGHT,<class '__main__.ATR'>_PARAMETER,<class '__main__.RSI'>_VALUE,<class '__main__.RSI'>_SPEED,<class '__main__.RSI'>_ACC,<class '__main__.RSI'>_WEIGHT,<class '__main__.RSI'>_PARAMETER,<class '__main__.MACD'>_VALUE,<class '__main__.MACD'>_SPEED,<class '__main__.MACD'>_ACC,<class '__main__.MACD'>_WEIGHT,<class '__main__.MACD'>_PARAMETER,<class '__main__.MINUS_DI'>_VALUE,<class '__main__.MINUS_DI'>_SPEED,<class '__main__.MINUS_DI'>_ACC,<class '__main__.MINUS_DI'>_WEIGHT,<class '__main__.MINUS_DI'>_PARAMETER,<class '__main__.PLUS_DI'>_VALUE,<class '__main__.PLUS_DI'>_SPEED,<class '__main__.PLUS_DI'>_ACC,<class '__main__.PLUS_DI'>_WEIGHT,<class '__main__.PLUS_DI'>_PARAMETER,<class '__main__.ADX'>_VALUE,<class '__main__.ADX'>_SPEED,<class '__main__.ADX'>_ACC,<class '__main__.ADX'>_WEIGHT,<class '__main__.ADX'>_PARAMETER,<class '__main__.VOLUME'>_VALUE,<class '__main__.VOLUME'>_SPEED,<class '__main__.VOLUME'>_ACC,<class '__main__.VOLUME'>_WEIGHT,<class '__main__.VOLUME'>_PARAMETER,<class '__main__.SAR'>_VALUE,<class '__main__.SAR'>_SPEED,<class '__main__.SAR'>_ACC,<class '__main__.SAR'>_WEIGHT,<class '__main__.SAR'>_PARAMETER,CLOSED
30.000000000000004,133.14425000000003,0.002538888888921065,-0.00046111111103641633,1.5,30,133.58225832202857,-0.09125832202855122,-0.08649428813080817,1,30,133.53651293505416,0.01524846232479149,0.011344560495871292,1.5,30,130.61105541372524,0.004917005882361991,-0.00021242941176069507,0.25,30,130.83425301508018,0.001176688615146304,-0.006755288870039067,0.25,30,0.09750213919439255,0.0029248930402806794,-0.003296244652013433,1.5,30,50.11043214207367,-5.932537535787539,-3.0042066846072757,0.25,30,-0.009503472489895665,-0.012844624142612796,-0.0031641887388013656,1,30,21.33223286394991,3.3900111851100014,0.6928330816453201,1.5,30,20.554941704110576,-1.8451371827950815,1.191650615878963,1,30,23.47040554363193,-1.1099824917887737,-0.38725536982546416,0.25,30,5361.0,1005.0,139.0,1.5,30,133.823,0.30073558609299766,0.2597261879894006,0.25,30,-0.08100000000001728
-85.00000000000001,132.08015,-0.008361111111099717,0.00040000000004170033,0.5,30,131.66789962431795,0.0016368618779836197,0.00033490200641494994,0.25,30,131.62113650884325,0.0011990542429600737,1.1225836828998581e-05,0.5,30,129.03652097256023,-0.005054618902420316,0.00021721341465763544,0.25,30,128.99803128941852,0.003623014522872836,-0.00036813893260045916,0.5,30,0.06732941303947047,0.0006973260873224252,0.003027515810245268,1.5,30,56.141696726048885,0.6275279691195124,-0.5201977969403444,0.5,30,0.0137563105080123,-0.0010776401261368158,0.00011505025534470914,0.5,30,18.82843383086893,1.1474074710140592,1.603905669086359,1.5,30,21.414836811687042,-1.0843218682218456,-1.66518279126063,1,30,17.57611263494977,-0.566158588716803,-0.16188976798141042,1,30,2591.0,1223.0,1438.0,1,30,131.53899610153104,0.01244705734907825,-0.0007944930222834046,0.5,30,-0.13100000000000023
-305.99999999999994,131.93595555555555,-0.0033500000000117325,0.0005055555555486535,0.5,30,131.78933931688343,-0.001965227204408393,0.009339316883426818,0.25,30,131.74862854230057,0.0010438660149532097,-0.013529423252464312,0.5,30,128.99749082926755,0.0003515152438922087,0.00012653353658720334,0.25,30,129.0989960402825,0.0022357903253578115,-0.0013876407120676504,0.5,30,0.05607207200314884,-0.001642915636648902,0.0011493559669702794,1.5,30,51.99191931564607,-3.0013351884875306,-2.6805988676135115,0.5,30,-0.003358670632345323,-0.0044803454169349485,-0.0008430745064918269,0.5,30,21.29414754960149,1.3265748935807977,1.4993125815151664,1.5,30,23.574263660328178,-0.6991904631002939,-0.20089044621534313,1,30,12.609672180417647,-0.34617994533510554,-0.14511636773739767,1,30,1032.0,-240.0,129.0,1,30,131.70985551872,0.008422686719995909,-0.00035094527999035563,0.5,30,-0.3990000000000009
-1296.0,131.9232277777778,-0.0034944444444136025,-0.0002555555555261435,0.5,30,131.74865477340646,-0.006087093337185934,0.028654773406429968,0.25,30,131.75159956112225,-7.550737734618451e-05,-0.0010977734586958832,0.5,30,129.00116821951147,0.00138260670732393,0.00034733231709083157,0.25,30,129.1019318197497,-0.003660815155143382,-0.00402235757550784,0.5,30,0.06331998486680437,0.0042436377393800795,0.0009778511146005739,1.5,30,41.10279820334489,-7.059822806548084,-0.5880960504737516,0.5,30,-0.017755524946486422,-0.00841448338845142,-0.0035578233359205257,0.5,30,26.222027027412224,2.380720979210089,-1.821853558969174,1.5,30,20.15367441580084,-1.7274692663645972,-0.06375104593974612,1,30,11.898277903501,-0.009101682599300887,0.30750728021097373,1,30,2092.0,175.0,396.0,1,30,131.90762,-0.004379999999997608,-0.1906763539476799,0.5,30,-0.25900000000001455
-450.0,131.90568333333331,-0.003872222222213395,9.444444447126443e-05,0.5,30,131.66865503408732,-0.007823949162485633,0.05365503408737027,0.25,30,131.72846129877857,-0.0015334939664342073,0.016305109198611945,0.5,30,129.01144880792796,0.0022693871951275923,8.814024397452158e-06,0.25,30,129.0766010865522,-0.00956800596912899,-0.00594668924352959,0.5,30,0.08476660109143495,0.006384854446233296,-0.0023077140405671492,1.5,30,36.42146566370237,-5.483252467724036,3.7009279142873908,0.5,30,-0.02752680466883181,-0.007415926979968103,-0.0037145368250235886,0.5,30,28.684517802246805,2.068044513307825,-0.7660209944992644,1.5,30,18.93439161138355,-1.9483680323828025,0.6396097193820012,1,30,11.958388759765619,0.2680890603169921,0.2898956865121729,1,30,3726.0,1119.0,1886.0,1,30,131.80965999717887,-0.026517777464334813,-0.005893623147528615,0.5,30,-0.05699999999998795
-450.0,131.78025000000002,-0.0024944444444372493,0.0007611111111316404,0.5,30,131.44261649559647,0.005415524075033318,0.001794522576176405,0.25,30,131.46463213432335,-0.0005955875362246843,0.00012304708783972274,0.5,30,128.99904867073192,-0.0046908536585590355,-0.0002917591463642566,0.25,30,128.85089067211945,0.0028216777848513175,0.0019512636010290407,0.5,30,0.05222088417250503,-0.0008382621974998838,-0.0019237943456810458,1.5,30,56.5156591370904,3.523711622423484,-0.4643808334977493,0.5,30,0.017081793838635423,0.0044303833022122305,0.00024414501523620236,0.5,30,16.730571045869983,-0.5424023065968235,0.3071071249997921,1.5,30,21.147791172720794,0.6290790636785282,-2.699478900795718,1,30,10.11213504471043,-0.0593284259318434,0.10828571181770563,1,30,2406.0,921.0,1234.0,1,30,131.39699520000002,0.005375200000003133,0.0037552000000005137,0.5,30,0.12000000000000455
-619.0,131.7207833333333,-0.004099999999993997,0.00010555555556379659,0.5,30,131.51515660080582,0.0037812315365215454,0.0008536193928136981,0.25,30,131.49178467357922,0.0005992801852983121,8.158849618666864e-05,0.5,30,128.92646517988004,-0.0050676158536759885,0.0002554573170527874,0.25,30,128.8718027009014,0.004809468903346215,4.00366273538566e-05,0.5,30,0.06567656915958521,0.004938493712762802,0.005369227844291051,1.5,30,57.95570626610635,1.6026903868917302,1.6026903868917302,0.5,30,0.011043965739581874,0.0027799165923613495,-0.0003339665336281406,0.5,30,15.375754949279585,-1.355084523719384,-0.6699442888197531,1.5,30,24.282127640506154,0.29794163126321394,-0.8980456549826954,1,30,10.30181360778971,0.3552054114200036,0.15477094290839233,1,30,2797.0,1042.0,1277.0,1,30,131.40196,0.003960000000006403,0.17501839718400447,0.5,30,-0.22199999999998
91.0,132.62153749999996,-0.0001999999999782176,-0.00031874999993419806,1,30,132.68716955329506,-0.032731810368687775,-0.026368580702182953,1,30,132.81525960211493,-0.010612320492640492,-0.007895126673560071,1,30,130.06618627058864,0.005883170588219855,2.7574509772421152e-05,1,30,130.07161889055888,-0.018531462164105506,0.0008159433856747,0.25,30,0.08959954966864128,0.0012666854304734798,3.055477372949922e-05,1.5,30,37.95461173426094,-3.463596936028651,-7.4026910981945235,0.25,30,-0.026214167771844064,-0.0026747284239005617,-0.005216569552465751,0.5,30,27.97130101968852,-2.289944599325139,0.8183752926329753,0.25,30,15.96738173924599,-0.8704012692139251,0.044595576443871465,1.5,30,21.946117841589277,1.3659191891272506,-0.029175220328664153,1,30,2484.0,-3.0,900.0,0.5,30,132.726,-0.003644244567027499,0.035042027804337295,1.5,30,0.35600000000002296
55.00000000000001,132.73966250000007,-0.0005062499999723968,-0.0003999999999564352,0.25,30,132.67290803814714,-0.0043635809551290095,0.0509080381471847,0.5,30,132.76457393225772,-0.002350407541285904,0.02753383269094911,1,30,130.06305526666648,0.0019470294117809317,-7.695882348457417e-05,1,30,130.08236643855315,-0.013834361952973495,-0.002747435583899005,0.5,30,0.07815669097568051,-0.0004104460650451863,0.0014273630710040092,1.5,30,40.06197520334397,-1.6108969634983197,0.44267928287633396,1.5,30,-0.022177020826063334,-0.0021394341967636253,-9.647309054725689e-05,0.5,30,33.50824837382837,3.6418464188282904,1.3439328388921403,0.25,30,17.175210417847456,-0.9311892258627097,-0.24975053814772252,1.5,30,20.067240943122407,0.9251335352585812,0.46442410504067766,0.25,30,1649.0,50.0,17.0,0.5,30,132.74407054814426,-0.013785616460467054,0.001531735162274117,0.25,30,0.23499999999998522
14.000000000000002,132.72533125,-0.0018125000000281943,-0.00032500000006052687,0.25,30,132.60894386732454,0.00010821750922218598,-0.002056132675477329,0.5,30,132.61945052985646,-0.00026940160336152985,0.0033586922781410067,1,30,130.08274682941413,0.000329933333318877,-8.800784317486432e-05,1,30,129.97077741780896,-0.0011855176641120124,-0.0004425770879947777,0.5,30,0.052646588774976605,-0.00270977258499841,-0.0002860151609985484,1.5,30,45.94272445759172,-7.105427357601002e-15,0.5009902958152779,1.5,30,0.009586596233168501,-0.000524997200395172,-1.5044661891040756e-05,0.5,30,22.360091987863193,0.23442497745918445,0.9424168202295462,0.25,30,14.826243206568035,-0.18372105885057977,-0.2978059856546249,1.5,30,27.60600005823213,-0.21159473257512218,0.09031995595055164,0.25,30,997.0,-370.0,-194.0,0.5,30,132.5558628851712,0.0038390464511905975,-0.00015996026880316094,0.25,30,0.03100000000000591
