HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,KAMA_PERIOD,KAMA_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,RSI_PERIOD,RSI_WEIGHT,MACD_WEIGHT,PLUSDI_WEIGHT,MINUSDI_WEIGHT,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADOSC'>_CONFLUENT,<class '__main__.ADOSC'>_DIVERGENT,<class '__main__.ADOSC'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,CLOSED
1.25,0,205,70,60,0.5,140,1,70,0,70,0,14,0.5,14,0,0.5,0,0,750,15,0.8,0.02,62.46153846153846,-450.0,71.3974829618925,77.35477929546187,3,3.5,0,1,1.0,0,0,0.9815950920245399,0,0,0,1,0,0.982174688057041,0,0,0,0,0,0,1,0,0.984251968503937,0,0,0,0,0,0,0,0,1.0,0,1,0.9775280898876404,0,0,0,-0.36618444774411785
0.75,0,190,40,40,1,80,0.5,40,0.5,40,0.5,14,1,14,0.5,1,0.5,0,710,16,0.75,0.022535211267605635,62.46153846153846,-450.0,70.9096442998454,76.54171485871669,3,3.5,0,0,1.0,0,0,0.9793577981651376,0,0,0,1,0,0.9836363636363636,0,0,0,0,0,0,1,0,0.984251968503937,0,0,0,0,0,0,0,0,0.9967320261437909,1,0,0.9801762114537445,0,0,0,0.18221488902068472
0.75,0,190,40,40,1,80,0.5,40,0.5,40,0.5,14,1,14,0.5,1,0.5,0,707,16,0.625,0.02263083451202263,61.038961038961034,-185.0,70.19716407946248,76.3026327731301,3,3.5,0,0,1.0,1,0,0.9825436408977556,0,0,0,1,0,0.9869158878504672,0,0,0,0,0,0,1,0,0.9868421052631579,0,0,0,0,0,0,1,0,0.9943181818181818,0,0,0.9852216748768473,0,0,0,-0.20775773183136437
0.75,0,190,40,40,1,80,0.5,40,0.5,40,0.5,14,1,14,0.5,1,0.5,1.5,722,11,0.6363636363636364,0.015235457063711912,58.57142857142858,60.0,73.25090326099028,83.03721972069809,3,3.5,0,0,1.0,1,0,0.985,0,0,0,1,0,0.9871086556169429,0,0,0,0,0,0,1,0,0.9907529722589168,0,0,0,0,0,0,0,0,0.9970414201183432,1,0,0.9856801909307876,0,0,0,0.2941343016930773
0.75,0,190,40,40,1,80,0.5,40,0.5,40,0.5,14,1,14,0.5,1,0.5,1.5,722,14,0.6428571428571429,0.019390581717451522,68.42105263157895,-85.00000000000001,83.29953881101542,93.21852959730641,3,3.5,0,0,1.0,0,0,0.983132530120482,0,0,0,0,0,0.9855855855855856,0,0,0,0,0,0,1,0,0.9881422924901185,0,0,0,0,0,0,1,0,0.9938650306748467,0,0,0.9838337182448037,0,0,0,-0.5092107256377574
1.5,1.5,205,60,50,1,120,0,60,0.5,60,0.5,14,1.5,14,0.5,1.5,0.5,1,733,27,0.8148148148148148,0.036834924965893585,75.5467720685112,-3595.0000000000005,84.9539264798397,91.22536275405868,2.5,3.0,0,0,1.0,1,0,0.9735449735449735,0,0,0,1,0,0.9584905660377359,0,0,0,0,0,0,1,0,0.9715025906735751,0,0,0,0,0,0,0,0,0.9859550561797753,1,0,0.9591346153846154,0,0,0,-0.37096388558008186
0.75,1.5,205,60,40,0,120,1,60,0,60,0,14,0,14,2,1.5,0,0,750,19,0.6842105263157895,0.025333333333333333,75.7020757020757,-619.0,88.16179795226279,96.46827945238749,2,3.0,0,0,1.0,1,0,0.986737400530504,0,0,0,1,0,0.9787644787644788,0,0,0,0,0,0,1,0,0.9829619921363041,0,0,0,0,0,0,0,0,0.9937694704049844,1,0,0.9795454545454545,0,0,0,0.2639445922637833
1,1.5,195,60,50,1,120,1,60,0,60,0,14,0,14,2,0.5,0,0,672,13,0.9230769230769231,0.019345238095238096,71.38461538461539,-450.0,86.16685924353075,96.02168848280765,1.5,3.0,0,0,1.0,1,0,0.98828125,0,0,0,1,0,0.9891891891891892,0,0,0,0,0,0,1,0,0.9881422924901185,0,0,0,0,0,0,0,0,0.9957264957264957,1,0,0.988527724665392,0,0,0,0.3085311478217392
1,1.5,195,60,50,1,120,1,60,0,60,0,14,0,14,2,0.5,0,0,671,15,0.9333333333333333,0.022354694485842028,59.90147783251232,-815.0,74.01488283127699,83.4238194971201,1.5,3.0,0,0,1.0,0,0,0.9866666666666667,0,0,0,0,0,0.9876543209876543,0,0,0,0,0,0,1,0,0.985545335085414,0,0,0,0,0,0,1,0,0.9911504424778761,0,0,0.9868667917448405,0,0,0,0.5531877534441207
1,1.5,195,60,50,1,120,1,60,0,60,0,14,0,14,2,0.5,0,0,672,22,0.8636363636363636,0.03273809523809524,41.659919028340084,-2270.0,70.95656937501907,90.4876696061384,1.5,3.0,1,0,1.0,0,0,0.9861660079051383,0,0,0,0,1,0.9843205574912892,0,0,0,0,0,0,1,0,0.97911227154047,0,0,0,0,0,0,0,1,0.9753086419753086,0,0,0.9865384615384616,0,0,0,-0.3815060103902823
1.5,1,200,60,40,1,120,1,60,0,60,0,14,0,14,0,0.5,0,0,537,28,0.8214285714285714,0.0521415270018622,69.10268270120258,-4124.0,77.11032754999808,82.44875744919507,2,2.5,0,0,1.0,0,0,0.980276134122288,0,0,0,0,1,0.9826086956521739,0,0,0,0,0,0,1,0,0.9715025906735751,0,0,0,0,0,0,0,0,0.9797297297297297,1,0,0.9766454352441614,0,0,0,0.6351152630957841
1.5,1,200,60,40,1,120,1,60,0,60,0,14,0,14,0,0.5,0,0,533,35,0.8,0.06566604127579738,71.363754213119,-7514.0,83.0411399686723,90.82606380570785,2,2.5,1,0,1.0,0,0,0.9795081967213115,0,0,0,0,1,0.982363315696649,0,0,0,0,0,0,1,0,0.9652509652509652,0,0,0,0,0,0,0,0,0.9824561403508771,0,1,0.9670781893004116,0,0,0,0.44070842725022885
1.5,1,200,60,40,1,120,1,60,0,60,0,14,0,14,0,0.5,0,0,542,47,0.7659574468085106,0.08671586715867159,83.20992225101814,-16006.0,86.82769634982867,89.23954574903567,2,2.5,1,0,1.0,0,0,0.9795918367346939,0,0,0,0,1,0.9831365935919055,0,0,0,0,0,0,0,1,0.9603072983354674,0,0,0,0,0,0,0,1,0.9824561403508771,0,0,0.9670781893004116,0,0,0,0.4753477679137603
1.5,1,200,60,40,1,120,1,60,0,60,0,14,0,14,0,0.5,0,0,543,54,0.7037037037037037,0.09944751381215469,85.70902781429098,-18819.0,89.28115366487397,91.66257089859596,2,2.5,0,0,1.0,0,0,0.9820717131474104,0,0,0,0,0,0.9834983498349835,0,0,0,0,0,0,1,0,0.959079283887468,0,0,0,0,0,0,0,0,0.9814126394052045,0,1,0.9681274900398407,0,0,0,0.47876927621176435
1.5,1,200,60,40,1,120,1,60,0,60,0,14,0,14,0,0.5,0,0,536,60,0.7333333333333333,0.11194029850746269,82.77153558052434,-29170.0,89.6141369405482,94.1758711805641,2,2.5,1,0,1.0,0,0,0.9814814814814815,0,0,0,0,1,0.978405315614618,0,0,0,0,0,0,0,1,0.9541984732824428,0,0,0,0,0,0,0,1,0.9655172413793104,0,0,0.9670781893004116,0,0,0,-0.8192439561157556
1.5,1,200,60,40,1,120,1,60,0,60,0,14,0,14,0,0.5,0,0,546,64,0.71875,0.11721611721611722,63.04198621348214,-33311.0,73.20030524892319,79.97251793921721,2,2.5,0,0,1.0,1,0,0.9808102345415778,0,0,0,1,0,0.9781512605042016,0,0,0,0,0,0,1,0,0.9517766497461929,0,0,0,0,0,0,1,0,0.9696969696969697,0,0,0.9662921348314607,0,0,0,-0.23331658239919761
1.5,1,200,60,40,1,120,1,60,0,60,0,14,0,14,0,0.5,0,0,545,65,0.7230769230769231,0.11926605504587157,59.14333706606942,-35520.0,66.34633841803549,71.14833931934619,2,2.5,0,0,1.0,0,0,0.9806034482758621,0,0,0,0,0,0.9778534923339012,0,0,0,0,0,0,1,0,0.9505703422053232,0,0,0,0,0,0,0,0,0.9697885196374623,1,0,0.9640449438202248,0,0,0,-0.32605969421118175
1,2,200,40,50,0.5,80,0,40,0.5,40,0.5,14,1,14,2,0.5,0.5,0.5,663,13,0.6923076923076923,0.0196078431372549,71.2280701754386,-85.00000000000001,88.38336743833204,99.820232280261,1.5,3.0,0,0,1.0,1,0,0.9885321100917431,0,0,0,1,0,0.9875222816399287,0,0,0,0,0,0,1,0,0.9894459102902374,0,0,0,0,0,0,1,0,0.9910179640718563,0,0,0.9858823529411764,0,0,0,-0.3040088291318028
1,2,200,40,50,0.5,80,0,40,0.5,40,0.5,14,1,14,2,0.5,0.5,0.5,663,13,0.6923076923076923,0.0196078431372549,49.122807017543856,-85.00000000000001,69.64640725856384,83.32880741924383,1.5,3.0,0,0,1.0,1,0,0.9885844748858448,0,0,0,1,0,0.9876106194690265,0,0,0,0,0,0,1,0,0.9894459102902374,0,0,0,0,0,0,0,0,0.990990990990991,1,0,0.9859154929577465,0,0,0,-0.25658242738366255
1.5,2,195,40,50,0.5,80,0,40,0,40,0,14,1,14,2,0,0,1,687,35,0.7428571428571429,0.050946142649199416,69.29527495565232,-6001.0,76.70017787850222,81.6367798270688,2,2.5,0,0,1.0,1,0,0.9815668202764977,0,0,0,1,0,0.9830188679245283,0,0,0,0,0,0,1,0,0.985545335085414,0,0,0,0,0,0,0,0,0.984,1,0,0.9844961240310077,0,0,0,-0.3355180341806232
1.5,2,195,40,50,0.5,80,0,40,0,40,0,14,1,14,2,0,0,1,687,34,0.7352941176470589,0.049490538573508006,60.325791855203626,-5325.0,68.52287383021192,73.9875951468841,2,2.5,1,0,1.0,0,0,0.9821826280623608,0,0,0,1,0,0.9830508474576272,0,0,0,0,0,0,1,0,0.984251968503937,0,0,0,0,0,0,1,0,0.9838274932614556,0,0,0.9846547314578005,0,0,0,0.47071367119983165
1.5,2,195,40,50,0.5,80,0,40,0,40,0,14,1,14,2,0,0,1,693,29,0.7586206896551724,0.04184704184704185,60.73781291172595,-3595.0000000000005,69.16290874503875,74.7796393005806,2,2.5,0,0,1.0,0,0,0.9844444444444445,0,0,0,0,0,0.9831144465290806,0,0,0,0,0,0,1,0,0.985545335085414,0,0,0,0,0,0,0,0,0.9845360824742269,1,0,0.983957219251337,0,0,0,0.21667892440011371
1.5,2,195,40,50,0.5,80,0,40,0,40,0,14,1,14,2,0,0,1,690,27,0.7777777777777778,0.0391304347826087,63.30413772274237,-3111.0,71.392629874146,76.78495797508174,2,2.5,1,0,1.0,0,0,0.9844444444444445,0,0,0,0,1,0.9832402234636871,0,0,0,0,0,0,0,1,0.9868421052631579,0,0,0,0,0,0,0,0,0.9844961240310077,0,1,0.984,0,0,0,0.4745784527527235
