HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,KAMA_PERIOD,KAMA_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,RSI_PERIOD,RSI_WEIGHT,PLUSDI_WEIGHT,MINUSDI_WEIGHT,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,CLOSED
1,2,200,60,40,0,120,0,60,0.5,60,0.5,14,1,14,0,0.5,1,670,11,0.8181818181818182,0.016417910447761194,55.43859649122807,-85.00000000000001,72.32483592747573,83.58232888497417,1.5,3.5,1,0,1.0,0,0,0.9868421052631579,1,0,0.9881422924901185,1,0,0.9834254143646409,0,0,0,0,0,1.0,0,0,0,0,0,0.9945945945945946,0,1,0.9845360824742269,-0.2184362945508127
1.5,1.5,200,50,40,0,100,0,50,0.5,50,0.5,14,1,14,1.5,0.5,1,649,17,0.7647058823529411,0.026194144838212634,74.48107448107449,-619.0,85.24889996923328,92.42745029467247,2.5,3.5,1,0,1.0,0,1,1.0,0,1,0.9946949602122016,0,0,1.0,0,0,0,0,0,0.9951690821256038,0,0,0,0,0,0.9917582417582418,0,1,0.9923469387755102,-0.2623191905407367
1.5,1.5,200,40,40,0,80,0,40,1,40,1,14,1,14,1.5,1,1,716,7,0.8571428571428571,0.009776536312849162,59.34065934065934,91.0,82.41392264142632,97.796098175271,2,4.0,0,0,1.0,0,0,0.9951690821256038,1,0,0.9933774834437086,0,0,0.9963436928702011,0,0,0,0,1,1.0,0,0,0,0,0,1.0,1,0,0.9831460674157303,-0.39537037269204234
1.5,2,200,70,60,0.5,140,1.5,70,1,70,1,14,0,14,2,1,0,615,14,0.7142857142857143,0.022764227642276424,59.74025974025974,-185.0,74.29708647253311,84.00163762738202,1.5,2.5,1,0,1.0,0,0,0.9954954954954955,1,0,0.9868421052631579,1,0,0.9842381786339754,0,0,0,0,0,1.0,0,0,0,0,0,1.0,1,0,0.972809667673716,0.34503037722066665
0.75,1.5,200,40,50,0,80,2,40,1,40,1,14,0,14,0.5,1,2,739,56,0.6964285714285714,0.07577807848443843,75.77409931840312,-20340.0,82.46107321944687,86.9190558201427,2,3.0,1,0,1.0,1,0,0.9606986899563319,1,0,0.9505703422053232,1,0,0.9462540716612378,0,0,0,0,0,1.0,0,0,0,0,0,0.9585253456221198,1,0,0.9408450704225352,-0.3978652723263991
0.75,1.5,200,40,50,0,80,2,40,1,40,1,14,0,14,0.5,1,2,739,57,0.7017543859649122,0.07713125845737483,70.29810298102981,-21940.0,76.480829178372,80.60264664326681,2,3.0,0,0,1.0,0,0,0.9615384615384616,1,0,0.9493670886075949,0,0,0.9448160535117057,0,0,0,0,0,1.0,0,0,0,1,0,0.956221198156682,0,0,0.9410112359550562,0.5436813049064284
1.5,1.5,200,40,50,0,80,0.5,40,0.5,40,0.5,14,2,14,1.5,0.5,0,652,3,1.0,0.004601226993865031,35.714285714285715,14.000000000000002,74.28571428571429,100.0,3,4.5,1,0,1.0,1,0,0.9974937343358395,1,0,0.9960159362549801,1,0,0.9942748091603053,0,0,0,0,0,1.0,0,0,0,1,0,0.9974489795918368,0,0,0.9944598337950139,-0.458458122107956
1.25,1.5,205,50,60,0.5,100,0,50,0,50,0,14,1,14,0.5,0,0.5,687,10,0.6,0.01455604075691412,59.34065934065934,91.0,82.22496731050765,97.48117262373984,2.5,3.0,1,0,1.0,0,0,0.994579945799458,0,1,0.9973404255319149,0,1,0.9960079840319361,0,0,0,0,0,1.0,0,0,0,0,0,0.9944289693593314,0,1,1.0,-0.43471635552182875
1.5,2,205,50,50,0.5,100,0.5,50,0,50,0,14,2,14,1.5,0,0.5,696,4,0.75,0.005747126436781609,35.714285714285715,14.000000000000002,74.28571428571429,100.0,1.5,2.0,0,0,1.0,0,0,0.9955555555555555,1,0,0.9960159362549801,1,0,0.9939516129032258,0,0,0,0,0,1.0,0,0,0,1,0,0.9918032786885246,0,0,1.0,-0.1368090939962201
1.5,0.5,205,40,40,0.5,80,0,40,0.5,40,0.5,14,2,14,1.5,0.5,0.5,695,9,0.7777777777777778,0.012949640287769784,53.57142857142857,60.0,74.27400933686405,88.0757298471544,1.5,2.0,1,0,1.0,1,0,0.9870410367170627,1,0,0.9907529722589168,1,0,0.9865642994241842,0,0,0,0,0,1.0,0,0,0,0,0,0.9842931937172775,1,0,0.9973333333333333,-0.17195544117970485
1.5,1.5,190,40,60,0.5,80,1,40,0,40,0,14,1.5,14,1,0,0,609,2,1.0,0.003284072249589491,20.0,5.000000000000004,68.0,100.0,1.5,3.0,1,0,1.0,1,0,0.9979550102249489,1,0,0.9973404255319149,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,1,1.0,0.18750451300662974
1.5,1.5,190,40,60,0.5,80,1,40,0,40,0,14,1.5,14,1,0,0,606,4,0.75,0.006600660066006601,35.714285714285715,14.000000000000002,74.28571428571429,100.0,1.5,3.0,0,0,1.0,0,0,0.9975186104218362,1,0,0.9960159362549801,1,0,0.998109640831758,0,0,0,0,0,1.0,0,0,0,0,0,0.9972067039106145,1,0,0.9974619289340102,0.2642253310053775
1.5,1.5,190,40,60,0.5,80,1,40,0,40,0,14,1.5,14,1,0,0,612,5,0.8,0.008169934640522876,46.666666666666664,30.000000000000004,78.66666666666666,100.0,1.5,3.0,0,0,1.0,1,0,0.9949874686716792,1,0,0.9946949602122016,0,0,0.9980916030534351,0,0,0,0,0,1.0,0,0,0,1,0,0.9948849104859335,0,0,0.9972375690607734,0.2971876406711971
1.25,2,200,60,50,0.5,120,0,60,0,60,0,14,2,14,1,0,0,725,9,0.8888888888888888,0.012413793103448275,68.62745098039215,-4.0000000000000036,87.45098039215686,100.0,1.5,2.0,0,0,1.0,1,0,0.9904534606205251,1,0,0.9920634920634921,1,0,0.994328922495274,0,0,0,0,1,1.0,0,0,0,1,0,0.9900744416873449,0,0,0.9971590909090909,0.20775385511225863
1.5,2,190,60,60,1,120,0,60,0.5,60,0.5,14,1.5,14,1.5,0.5,1,687,12,0.8333333333333334,0.017467248908296942,74.02597402597402,-185.0,89.6103896103896,100.0,1.5,2.0,1,0,1.0,0,0,0.9825581395348837,1,0,0.9881422924901185,1,0,0.9844559585492227,0,0,0,0,0,1.0,0,0,0,1,0,0.9787234042553191,0,0,1.0,-0.21436554913135808
1.25,0,200,50,60,0.5,100,0,50,0,50,0,14,1,14,1,0,1,592,5,1.0,0.008445945945945946,54.54545454545454,55.00000000000001,81.81818181818181,100.0,2.5,3.5,1,0,1.0,0,0,0.9915433403805497,1,0,0.9960159362549801,0,0,0.9945255474452555,0,0,0,0,0,1.0,0,0,0,0,0,0.9909706546275395,1,0,0.9967948717948718,0.36396639950524445
