HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,KAMA_PERIOD,KAMA_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,RSI_PERIOD,RSI_WEIGHT,MACD_WEIGHT,ADOSC_WEIGHT,PLUSDI_MINUSDI_WEIGHT,VOLUME_WEIGHT,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADOSC'>_CONFLUENT,<class '__main__.ADOSC'>_DIVERGENT,<class '__main__.ADOSC'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,CLOSED
0,1,180,50,60,0,100,1,50,0,50,0,14,2,14,0,0,0.5,0,0.5,800,9,0.3333333333333333,0.01125,35.714285714285715,14.000000000000002,74.28571428571429,100.0,3,3.5,1,0,1.0,0,0,0.9963963963963964,0,0,0,0,0,0.9965277777777778,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,1,1.0,0,0,0.9971988795518207,0,0,0,0.15868466532623415
0,0,180,70,30,0.5,140,1,70,0,70,0,14,0,14,1.5,0.5,0,0,0,800,12,0.16666666666666666,0.015,100.0,5.000000000000004,100.0,100.0,1.5,2.5,0,0,1.0,1,0,0.9960861056751468,0,0,0,1,0,0.9966273187183811,0,0,0,0,0,0,1,0,0.9975062344139651,0,0,0,0,0,0,1,0,1.0,0,0,0.9953703703703703,0,0,0,-0.22296997216238879
0,0,180,70,30,0.5,140,1,70,0,70,0,14,0,14,1.5,0.5,0,0,0,800,13,0.23076923076923078,0.01625,35.714285714285715,14.000000000000002,74.28571428571429,100.0,1.5,2.5,0,0,1.0,1,0,0.9940944881889764,0,0,0,1,0,0.9950166112956811,0,0,0,0,0,0,1,0,0.9962640099626401,0,0,0,0,0,0,0,0,1.0,1,0,0.9934640522875817,0,0,0,0.19358222193685037
0,0,180,70,30,0.5,140,1,70,0,70,0,14,0,14,1.5,0.5,0,0,0,800,14,0.21428571428571427,0.0175,35.714285714285715,14.000000000000002,74.28571428571429,100.0,1.5,2.5,0,0,1.0,1,0,0.9943074003795066,0,0,0,1,0,0.995049504950495,0,0,0,0,0,0,1,0,0.9962640099626401,0,0,0,0,0,0,1,0,0.9970760233918129,0,0,0.9956616052060737,0,0,0,-0.097400855977412
0,2,180,70,30,1,140,1,70,0,70,0,14,0,14,0.5,1,2,0,2,800,12,0.08333333333333333,0.015,100.0,1.0000000000000009,100.0,100.0,2,4.0,1,0,1.0,0,0,0.9978165938864629,0,0,0,0,0,0.9982905982905983,0,0,0,0,0,0,1,0,0.9987515605493134,0,0,0,0,0,0,0,1,1.0,0,0,0.9970760233918129,0,0,0,-0.1596483366919017
2,2,180,40,60,0,80,0,40,0,40,0,14,0,23,1.5,1,0,0,0,555,10,0.3,0.018018018018018018,35.714285714285715,14.000000000000002,74.28571428571429,100.0,3,4.5,0,0,1.0,0,0,0.9980769230769231,0,0,0,1,0,0.9947089947089947,0,0,0,0,0,0,1,0,0.9962640099626401,0,0,0,0,0,0,0,0,0.9956521739130435,1,0,0.9970845481049563,0,0,0,-0.33173567887899935
2,2,180,40,60,0,80,0,40,0,40,0,14,0,23,1.5,0.5,0,0,0,800,12,0.25,0.015,35.714285714285715,14.000000000000002,74.28571428571429,100.0,3,3.5,0,0,1.0,1,0,0.9943181818181818,0,0,0,1,0,0.9949409780775716,0,0,0,0,0,0,1,0,0.9962640099626401,0,0,0,0,0,0,0,0,0.9952038369304557,1,0,0.9974093264248705,0,0,0,0.22450331086704978
2,0.5,180,40,40,1,80,0,40,0,40,0,14,1.5,23,0,0.5,1,0,1,769,31,0.2903225806451613,0.04031209362808843,70.17543859649122,-85.00000000000001,86.78661622309225,97.86073464082627,1.5,2.5,0,0,1.0,0,0,0.9846743295019157,0,0,0,1,0,0.9848484848484849,0,0,0,0,0,0,1,0,0.9888751545117429,0,0,0,0,0,0,1,0,0.9929078014184397,0,0,0.9844559585492227,0,0,0,-0.0844413259614214
2,0.5,180,40,40,1,80,0,40,0,40,0,14,1.5,23,0,0.5,1,0,1,770,34,0.29411764705882354,0.04415584415584416,51.94805194805194,-185.0,70.82923331529896,83.4166875601303,1.5,2.5,0,0,1.0,1,0,0.982824427480916,0,0,0,0,0,0.984822934232715,0,0,0,0,0,0,1,0,0.9876543209876543,0,0,0,0,0,0,0,0,0.9929078014184397,1,0,0.9819121447028424,0,0,0,0.09949624043406402
2,0.5,180,40,40,1,80,0,40,0,40,0,14,1.5,23,0,0.5,1,0,1,770,29,0.3448275862068966,0.03766233766233766,57.14285714285714,-185.0,74.2634841264798,85.6772354488949,1.5,2.5,0,0,1.0,0,0,0.9845559845559846,0,0,0,1,0,0.9842381786339754,0,0,0,0,0,0,1,0,0.9876543209876543,0,0,0,0,0,0,1,0,0.9918478260869565,0,0,0.9841628959276018,0,0,0,0.03127370955377273
