HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,KAMA_PERIOD,KAMA_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,RSI_PERIOD,RSI_WEIGHT,MACD_WEIGHT,PLUSDI_WEIGHT,MINUSDI_WEIGHT,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADOSC'>_CONFLUENT,<class '__main__.ADOSC'>_DIVERGENT,<class '__main__.ADOSC'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,CLOSED
1,2,180,70,60,1.5,140,0.5,70,0,70,0,14,1,14,0,1.5,0,2,766,20,0.15,0.02610966057441253,100.0,14.000000000000002,100.0,100.0,1.5,2.0,0,0,1.0,1,0,0.9927360774818402,0,0,0,1,0,0.9942748091603053,0,0,0,0,0,0,1,0,0.9962640099626401,0,0,0,0,0,0,0,0,1.0,1,0,0.9931662870159453,0,0,0,0.3407086393834362
1,2,180,70,60,1.5,140,0.5,70,0,70,0,14,1,14,0,1.5,0,2,766,24,0.16666666666666666,0.031331592689295036,100.0,30.000000000000004,100.0,100.0,1.5,2.0,0,0,1.0,0,0,0.990632318501171,0,0,0,1,0,0.9924812030075187,0,0,0,0,0,0,1,0,0.9950248756218906,0,0,0,0,0,0,0,0,1.0,1,0,0.9918864097363083,0,0,0,-0.46530453602048283
1.25,2,180,70,50,0,140,1,70,0,70,0,14,2,14,1.5,1,0,0.5,742,6,0.16666666666666666,0.008086253369272238,100.0,1.0000000000000009,100.0,100.0,1.5,3.0,1,0,1.0,1,0,0.9980119284294234,0,0,0,1,0,0.9982876712328768,0,0,0,0,0,0,1,0,0.9987515605493134,0,0,0,0,0,0,0,0,1.0,1,0,0.9981684981684982,0,0,0,-0.7369362003128117
1.25,2,180,70,50,0,140,1,70,0,70,0,14,2,14,1.5,1,0,0.5,751,8,0.25,0.010652463382157125,20.0,5.000000000000004,68.0,100.0,1.5,3.0,1,0,1.0,0,0,0.9979123173277662,0,0,0,0,1,0.9983108108108109,0,0,0,0,0,0,1,0,0.9975062344139651,0,0,0,0,0,0,0,0,1.0,0,1,0.998019801980198,0,0,0,0.48414653322166146
1.25,2,180,70,50,0,140,1,70,0,70,0,14,2,14,1.5,1,0,0.5,781,9,0.1111111111111111,0.011523687580025609,100.0,1.0000000000000009,100.0,100.0,1.5,3.0,1,0,1.0,0,0,1.0,0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,0.9987515605493134,0,0,0,0,0,0,1,0,1.0,0,0,1.0,0,0,0,0.691363782608974
1.25,2,180,70,50,0,140,1,70,0,70,0,14,2,14,1.5,1,0,0.5,782,11,0.09090909090909091,0.014066496163682864,100.0,1.0000000000000009,100.0,100.0,1.5,3.0,0,0,1.0,1,0,1.0,0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,0.9987515605493134,0,0,0,0,0,0,0,0,1.0,1,0,1.0,0,0,0,0.7532674766966352
0.5,0,180,70,60,0,140,1,70,0,70,0,14,2,15,2,0.5,0,2,749,19,0.3684210526315789,0.025367156208277702,50.0,60.0,73.0909936640579,88.48498944009651,1.5,2.0,0,1,1.0,1,0,0.9957264957264957,0,0,0,0,0,0.9948186528497409,0,0,0,0,0,0,1,0,0.9913258983890955,0,0,0,0,0,0,1,0,0.9828009828009828,0,0,1.0,0,0,0,-0.670587991874072
1.25,0,180,40,40,1,80,2,40,0,40,0,14,1.5,15,0.5,0.5,0,0.5,750,41,0.24390243902439024,0.05466666666666667,57.66233766233766,-185.0,75.10677039141558,86.73639221080087,1.5,3.0,0,0,1.0,0,0,0.9820224719101124,0,0,0,0,0,0.9850187265917603,0,0,0,0,0,0,1,0,0.9913258983890955,0,0,0,0,0,0,1,0,0.9904761904761905,0,0,0.9846153846153847,0,0,0,-0.2908848721031063
1.25,0,180,40,40,1,80,2,40,0,40,0,14,1.5,15,0.5,0.5,0,0.5,751,41,0.21951219512195122,0.05459387483355526,57.19298245614035,-85.00000000000001,67.44666650647721,74.28245587336846,1.5,3.0,1,0,1.0,1,0,0.9841628959276018,0,0,0,1,0,0.9869158878504672,0,0,0,0,0,0,1,0,0.9913258983890955,0,0,0,0,0,0,0,0,0.9905882352941177,1,0,0.9869791666666666,0,0,0,-0.3885167494271684
1,0.5,180,70,30,0,140,0,70,0,70,0,14,1.5,15,2,0,0,0,721,15,0.06666666666666667,0.020804438280166437,100.0,1.0000000000000009,100.0,100.0,1.5,2.0,1,0,1.0,0,1,1.0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,1,0.9987515605493134,0,0,0,0,0,0,0,0,1.0,0,1,1.0,0,0,0,0.5545810778989733
1,0.5,180,70,30,0,140,0,70,0,70,0,14,1.5,15,2,0,0,0,727,11,0.09090909090909091,0.015130674002751032,100.0,1.0000000000000009,100.0,100.0,1.5,2.0,1,0,1.0,0,0,1.0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,1,0.9987515605493134,0,0,0,0,0,0,0,1,1.0,0,0,1.0,0,0,0,-0.15898209115154316
1,0.5,180,70,30,0,140,0,70,0,70,0,14,1.5,15,2,0,0,0,726,15,0.06666666666666667,0.02066115702479339,100.0,1.0000000000000009,100.0,100.0,1.5,2.0,1,0,1.0,0,1,1.0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,1,0.9987515605493134,0,0,0,0,0,0,0,0,1.0,0,1,1.0,0,0,0,-0.3825947738490214
1,0.5,180,70,30,0,140,0,70,0,70,0,14,1.5,15,2,0,0,0,724,17,0.058823529411764705,0.023480662983425413,100.0,1.0000000000000009,100.0,100.0,1.5,2.0,1,0,1.0,0,1,1.0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,1,0.9987515605493134,0,0,0,0,0,0,0,1,1.0,0,0,1.0,0,0,0,0.24233703344887658
0.5,2,180,50,50,1,100,1,50,0.5,50,0.5,14,0,14,0.5,0.5,0.5,0,706,23,0.08695652173913043,0.032577903682719546,100.0,5.000000000000004,100.0,100.0,3,4.0,0,0,1.0,1,0,0.996116504854369,0,0,0,1,0,0.9965986394557823,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,0,1.0,1,0,0.9945945945945946,0,0,0,-0.3086255684963106
