HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,KAMA_PERIOD,KAMA_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,RSI_PERIOD,RSI_WEIGHT,MACD_WEIGHT,PLUSDI_WEIGHT,MINUSDI_WEIGHT,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADOSC'>_CONFLUENT,<class '__main__.ADOSC'>_DIVERGENT,<class '__main__.ADOSC'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,CLOSED
1,2,190,60,60,0,120,1,60,0.5,60,0.5,14,2,15,1,0,0.5,0,700,23,0.6956521739130435,0.032857142857142856,70.78877005347593,-1296.0,79.58267220989828,85.44527364751316,1.5,2,1,0,1.0,1,0,0.9806451612903225,0,0,0,0,0,0.9877408056042032,0,0,0,0,0,0,0,1,0.9907529722589168,0,0,0,0,0,0,0,1,0.9804469273743017,0,0,0.9925373134328358,0,0,0,0.12690802214324037
1,2,190,60,60,0,120,1,60,0.5,60,0.5,14,2,15,1,0,0.5,0,697,26,0.6923076923076923,0.03730272596843615,76.05500237079184,-1909.0,83.85518421996179,89.05530545274175,1.5,2,0,0,1.0,0,0,0.9783549783549783,0,0,0,0,0,0.9875666074600356,0,0,0,0,0,0,1,0,0.9894459102902374,0,0,0,0,0,0,1,0,0.9775280898876404,0,0,0.9925925925925926,0,0,0,0.2732375308577275
1,2,190,60,60,0,120,1,60,0.5,60,0.5,14,2,15,1,0,0.5,0,697,28,0.7142857142857143,0.040172166427546625,67.17770034843205,-2670.0,81.88018157920928,91.68183573306077,1.5,2,0,0,1.0,0,1,0.9772209567198178,0,0,0,0,0,0.9858657243816255,0,0,0,0,0,0,1,0,0.9868421052631579,0,0,0,0,0,0,0,0,0.975,1,0,0.9900744416873449,0,0,0,-0.292298395803428
1,2,200,70,50,0,140,1,70,0,70,0,14,2,14,1,1,0,1,750,14,0.8571428571428571,0.018666666666666668,75.23076923076924,-450.0,88.83494163491541,97.90438990434619,2.5,3.0,0,0,1.0,1,0,0.9907834101382489,0,0,0,1,0,0.9947183098591549,0,0,0,0,0,0,1,0,0.984251968503937,0,0,0,0,0,0,1,0,0.9851190476190477,0,0,0.995249406175772,0,0,0,0.30100152293317706
1,2,200,70,50,0,140,1,70,0,70,0,14,2,14,1,1,0,1,750,14,0.8571428571428571,0.018666666666666668,62.30769230769231,-450.0,77.15046821553219,87.0456521540921,2.5,3.0,0,0,1.0,0,0,0.9897959183673469,0,0,0,1,0,0.9943074003795066,0,0,0,0,0,0,1,0,0.984251968503937,0,0,0,0,0,0,0,0,0.9870466321243523,1,0,0.9946091644204852,0,0,0,0.7308656240584526
1.25,0,205,40,30,1,80,1,40,0,40,0,14,1,15,1,0.5,0,2,750,29,0.6896551724137931,0.03866666666666667,70.03484320557492,-2670.0,75.70402510042686,79.48347969699483,2.5,3.0,0,0,1.0,1,0,0.9692982456140351,0,0,0,1,0,0.9769503546099291,0,0,0,0,0,0,1,0,0.9752925877763329,0,0,0,0,0,0,0,0,0.974910394265233,1,0,0.9755102040816327,0,0,0,0.3510867605107393
1.25,0,205,40,30,1,80,1,40,0,40,0,14,1,15,1,0.5,0,2,750,30,0.6666666666666666,0.04,72.36933797909407,-2670.0,78.29976942711579,82.2533903924636,2.5,3.0,0,1,1.0,0,0,0.9722814498933902,0,0,0,0,0,0.9790209790209791,0,0,0,0,0,0,1,0,0.974025974025974,0,0,0,0,0,0,1,0,0.9739776951672863,0,0,0.976,0,0,0,-0.21197718647070474
1,0,195,60,30,0.5,120,1,60,1,60,1,14,2,15,0,1,1,0,646,15,0.6666666666666666,0.02321981424148607,57.4025974025974,-185.0,66.9014267521129,73.2339796517899,3,3.5,0,0,1.0,0,0,0.979498861047836,0,0,0,1,0,0.9830188679245283,0,0,0,0,0,0,1,0,0.9868421052631579,0,0,0,0,0,0,0,0,1.0,1,0,0.9800443458980045,0,0,0,-0.1511993230514861
1.5,0,195,50,30,1,100,1,50,0.5,50,0.5,14,0.5,14,0,1,0.5,0,675,22,0.5909090909090909,0.03259259259259259,62.88156288156288,-619.0,73.63328489085565,80.8010995637175,2,3.0,0,0,1.0,0,0,0.9760191846522782,0,0,0,1,0,0.9770114942528736,0,0,0,0,0,0,1,0,0.9829619921363041,0,0,0,0,0,0,1,0,0.9940298507462687,0,0,0.9765807962529274,0,0,0,0.3772780264181108
1,0,195,40,40,0.5,80,1,40,0.5,40,0.5,14,0.5,14,0,0,0.5,1.5,700,12,0.5833333333333334,0.017142857142857144,62.142857142857146,60.0,79.79197773551434,91.55805813061912,3,3.5,0,1,1.0,1,0,0.9848101265822785,0,0,0,1,0,0.9871086556169429,0,0,0,0,0,0,0,1,0.9960159362549801,0,0,0,0,0,0,0,0,0.9942363112391931,1,0,0.9878048780487805,0,0,0,0.4021028603057317
