HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,ADOSC_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.ADOSC'>_CONFLUENT,<class '__main__.ADOSC'>_DIVERGENT,<class '__main__.ADOSC'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
0,2,180,0,40,0,0,1,0,1,14,0,1,1,1,0,661,32,0.1875,0.048411497730711045,100.0,91.0,100.0,100.0,1.5,2,0,0,1.0,1,0,0.9910979228486647,1,0,0.9880239520958084,0,0,0,1,0,0.9883177570093458,0,0,0,1,0,0.9976359338061466,0,0,0.9869451697127938,0,0,0,-0.17826846040767919
0,2,180,0,40,0,0,1,0,1,14,0,1,1,1,0,658,36,0.16666666666666666,0.0547112462006079,100.0,91.0,100.0,100.0,1.5,2,0,0,1.0,0,0,0.9909365558912386,1,0,0.9881656804733728,0,0,0,1,0,0.9884526558891455,0,0,0,0,0,0.9976851851851852,1,0,0.9866310160427807,0,0,0,0.15608256182414948
0,2,180,0,40,0,0,1,0,1,14,0,1,1,1,0,639,28,0.07142857142857142,0.04381846635367762,100.0,5.000000000000004,100.0,100.0,1.5,2,0,0,1.0,1,0,0.9974619289340102,1,0,0.9962616822429906,0,0,0,1,0,0.9976415094339622,0,0,0,1,0,0.9976851851851852,0,0,0.9972972972972973,0,0,0,-0.140588008333566
