FREQUENCY_RATE,<class '__main__.MovingAverage'>_VALUE,<class '__main__.MovingAverage'>_SPEED,<class '__main__.MovingAverage'>_ACC,<class '__main__.MovingAverage'>_WEIGHT,<class '__main__.MovingAverage'>_PARAMETER,<class '__main__.MAMA'>_VALUE,<class '__main__.MAMA'>_SPEED,<class '__main__.MAMA'>_ACC,<class '__main__.MAMA'>_WEIGHT,<class '__main__.MAMA'>_PARAMETER,<class '__main__.FAMA'>_VALUE,<class '__main__.FAMA'>_SPEED,<class '__main__.FAMA'>_ACC,<class '__main__.FAMA'>_WEIGHT,<class '__main__.FAMA'>_PARAMETER,<class '__main__.TRIMA'>_VALUE,<class '__main__.TRIMA'>_SPEED,<class '__main__.TRIMA'>_ACC,<class '__main__.TRIMA'>_WEIGHT,<class '__main__.TRIMA'>_PARAMETER,<class '__main__.EMA'>_VALUE,<class '__main__.EMA'>_SPEED,<class '__main__.EMA'>_ACC,<class '__main__.EMA'>_WEIGHT,<class '__main__.EMA'>_PARAMETER,<class '__main__.ATR'>_VALUE,<class '__main__.ATR'>_SPEED,<class '__main__.ATR'>_ACC,<class '__main__.ATR'>_WEIGHT,<class '__main__.ATR'>_PARAMETER,<class '__main__.RSI'>_VALUE,<class '__main__.RSI'>_SPEED,<class '__main__.RSI'>_ACC,<class '__main__.RSI'>_WEIGHT,<class '__main__.RSI'>_PARAMETER,<class '__main__.MACD'>_VALUE,<class '__main__.MACD'>_SPEED,<class '__main__.MACD'>_ACC,<class '__main__.MACD'>_WEIGHT,<class '__main__.MACD'>_PARAMETER,<class '__main__.MINUS_DI'>_VALUE,<class '__main__.MINUS_DI'>_SPEED,<class '__main__.MINUS_DI'>_ACC,<class '__main__.MINUS_DI'>_WEIGHT,<class '__main__.MINUS_DI'>_PARAMETER,<class '__main__.PLUS_DI'>_VALUE,<class '__main__.PLUS_DI'>_SPEED,<class '__main__.PLUS_DI'>_ACC,<class '__main__.PLUS_DI'>_WEIGHT,<class '__main__.PLUS_DI'>_PARAMETER,<class '__main__.ADX'>_VALUE,<class '__main__.ADX'>_SPEED,<class '__main__.ADX'>_ACC,<class '__main__.ADX'>_WEIGHT,<class '__main__.ADX'>_PARAMETER,<class '__main__.VOLUME'>_VALUE,<class '__main__.VOLUME'>_SPEED,<class '__main__.VOLUME'>_ACC,<class '__main__.VOLUME'>_WEIGHT,<class '__main__.VOLUME'>_PARAMETER,<class '__main__.SAR'>_VALUE,<class '__main__.SAR'>_SPEED,<class '__main__.SAR'>_ACC,<class '__main__.SAR'>_WEIGHT,<class '__main__.SAR'>_PARAMETER,<class '__main__.Supertrend'>_VALUE,<class '__main__.Supertrend'>_SPEED,<class '__main__.Supertrend'>_ACC,<class '__main__.Supertrend'>_WEIGHT,<class '__main__.Supertrend'>_PARAMETER,MT_HA_WEIGHT,MT_BOILINGER_WEIGHT,MT_EXPLORE_TARGET,MT_BOILINGER_PERIOD,MT_SAR_ACC,MT_EXPLORE_SAMPLES,MT_INDICATORS_DEPTH,MT_WINDOW,MT_CONFL_DEPTH,MT_CONFL_TRESH,MT_SET_IGNORE,MT_SLTP_REV,MT_SLTP_MODE,MT_SATE_MACHINE_CONF,MT_ADX_THRESH,MT_VOL_THRESH,MT_SNR_WEIGHT,MT_ATR_THRESH,MT_NUM_SNR,MT_VSNR_SENSE,MT_SNR_SENSE,MT_THRESH_LIM,CLOSED
-4.0000000000000036,133.01219374999997,-0.00674374999996985,0.00023125000004142748,0.25,30,132.03896875051544,0.053031249484547516,0.047878273457456544,1,30,132.07682633418978,-0.012619194558112667,-0.007992340293668576,1.5,30,132.95458019480483,-0.017777759740255306,-0.00030527597402851825,0.25,30,132.0826400038373,-0.0017778951407763088,0.005792410014805682,0.25,30,0.07774471778431838,-0.0008389084131633778,-0.003440077970484734,1,30,42.429002930517655,4.930025998455697,-3.473942520575079,1,30,0.017572827312378816,0.00816065776595902,0.00115842448989327,1,30,25.743605655472283,-0.7578167994745328,0.6211483794092416,1.5,30,12.406166887027931,0.5951404802505973,-3.244292887502029,1,30,50.546322926191785,-1.7368638972183135,-0.2894713069452237,1.5,30,1962.0,-754.0,-362.0,1,30,131.91335999999998,0.003359999999986485,0.10089752297631094,0.25,30,132.1764932747685,0.0,0.0,0.25,30,1.25,1,6,16,0.3037760643702484,28,6,180,3,0.5,False,False,SNR,1,7,543,2.5,1320,2,125,125,0.42107168710754783,0.2629999999999768
-4.0000000000000036,131.87998124999996,-0.0033500000000117325,0.0001562499999749889,1.5,30,131.74412203473614,-0.0045327386703206685,0.0015543546668652652,0.25,30,131.7514126229626,-0.00018693815965775684,-0.00011143078231157233,1,30,131.64783088235265,-0.0013041176470949267,0.0002758823529234178,0.5,30,131.74235184306622,-0.010300194006958918,-0.0029157690518957224,1.5,30,0.06372690335777947,0.0003939569829630035,-0.001828283665854545,1,30,40.54060435878391,3.515764352933637,12.122914058173095,0.25,30,-0.02077083517141812,-0.0030153102249316985,0.005399173163519722,0.25,30,34.71886070624883,0.00041862904171807713,-4.284015935910567,1,30,18.339245634853725,-1.3147439524296232,0.944118988048583,0.25,30,11.616893637999956,0.08175302605352286,0.09784038433509146,0.5,30,1953.0,-139.0,-314.0,1,30,131.8965952,-0.011024800000001278,-0.00664480000000367,1,30,131.8380441186159,-0.04167156873509725,-0.22354928114717154,1.5,30,1.75,1,10,8,0.18451957323518103,26,4,120,4,0.6,True,False,SNR,1,9,523,1.5,637,2,125,100,0.3818131982144315,0.2609999999999957
-85.00000000000001,131.64982499999988,-0.0017937499999902684,0.0008812500000203727,1.5,30,131.60512438538277,0.0828756146172509,0.07578344465756004,0.25,30,131.52069080335235,0.02814452734347128,0.027382924913808893,1,30,131.59689568627536,-0.003748725490169136,-4.794117646156337e-05,0.5,30,131.5308629562818,0.01601442565453226,0.0038142709837245548,1.5,30,0.06970701060022191,0.0025853804476082543,-0.0001707324022672818,1,30,69.10928938165853,2.3199573829422633,-3.793034589664259,0.25,30,0.021166916996312672,0.004532374480023638,-0.0010582022966835226,0.25,30,8.155602722289878,-1.54300072149646,0.46671962011055435,1,30,30.698721174906318,1.4651510655278521,-2.1698799201831953,0.25,30,11.047413554252133,0.7217785205400045,0.16112715878600525,0.5,30,3679.0,630.0,378.0,1,30,131.42855910400002,0.017517504000011286,0.008435904000009486,1,30,131.46117765430535,0.039146927299384515,0.015499001977758553,1.5,30,1.75,1,10,8,0.18451957323518103,26,4,120,4,0.6,True,False,SNR,1,9,523,1.5,637,2,125,100,0.3818131982144315,0.07099999999999795
-85.00000000000001,132.61681249999995,0.0019624999999905413,-0.00048125000000709406,1.5,30,132.7487836951286,-0.005041247112046676,0.05678369512858694,0.25,30,132.83847787099924,-0.0022998506633484794,0.02668440914396797,1,30,132.68518176470576,0.00566725490196518,5.784313728440793e-05,0.5,30,132.8252029537007,-0.015284521442168852,-0.002496366163967423,1.5,30,0.0776656088271433,-0.00022217184891258623,-0.0030370394357684405,1,30,29.58081176943012,-2.82965608625625,-1.6984374438976246,0.25,30,-0.02734241456716608,-0.00265326205429324,-0.0001915423643806119,0.25,30,28.426109575667418,-0.24908914847992136,5.8501724091356095,1,30,18.465470979710354,-1.0890027020406876,-2.8044004461652037,0.25,30,12.504531775160965,-0.20803388462693206,0.07441213111447986,0.5,30,2581.0,55.0,-66.0,1,30,132.89008228224,-0.01913758975999258,-0.005208661759979805,1,30,132.92029557705825,-0.019902666223572396,-0.019902666223572396,1.5,30,1.75,1,10,8,0.18451957323518103,26,4,120,4,0.6,True,False,SNR,1,9,523,1.5,637,2,125,100,0.3818131982144315,-0.22399999999998954
-305.99999999999994,132.63989375000008,0.00032500000000368345,-8.124999999381544e-05,1.5,30,132.59249187245695,0.02550812754304843,0.016727722198709216,0.25,30,132.51365445199906,0.026279140152638547,0.021518017408766354,1,30,132.58250068627567,-0.003914607843142903,7.960784313354452e-05,0.5,30,132.53859317527588,0.009016507865680978,-0.0006596324069221282,1.5,30,0.0600459418718875,-0.001335521041517948,-0.0007459275694513337,1,30,63.641087667532815,-3.7204726519786675,-7.516993653768502,0.25,30,0.015936687101529828,-0.0020061056587473668,-0.0023871112582378486,0.25,30,9.247305132118608,-0.6428973882593727,0.4051019760262786,1,30,25.802726229136795,-0.8811684032301663,-2.6691319172480483,0.25,30,11.288195192210392,0.1061119248409721,-0.0039300712904069,0.5,30,1539.0,-201.0,-846.0,1,30,132.4832013898164,0.022608901388679215,0.0036747334362132733,1,30,132.4733155546599,0.002242716148856516,-0.017971412905495754,1.5,30,1.75,1,10,8,0.18451957323518103,26,4,120,4,0.6,True,False,SNR,1,9,523,1.5,637,2,125,100,0.3818131982144315,0.214999999999975
60.0,132.62896875000007,-0.001224999999976717,-0.00034374999995634425,1.5,30,132.5715436228834,-2.8611730726879614e-05,0.023543622883408943,0.25,30,132.6175628637365,-0.0011799805346868197,0.014543556017656556,1,30,132.55217735294147,0.002198921568606238,2.3137254856919753e-05,0.5,30,132.6083685337956,-0.005170371978493904,4.424968193461609e-05,1.5,30,0.06613902005931929,-0.0018161438123489443,-0.0010563741041739044,1,30,43.819708236501086,4.026818142743522,7.352575188795058,0.25,30,-0.008132461563868628,0.001676088364727081,0.0023221000253789755,0.25,30,21.014663404015593,-1.1048600022527708,-2.123470975595122,1,30,15.186755856731187,-0.40351324175999004,0.35579054388080955,0.25,30,9.408945932804599,-0.15914474418852187,0.005894249784759609,0.5,30,2463.0,-1726.0,-1973.0,1,30,132.67672340669122,-0.0029331307488007496,5.9859811187834566e-05,1,30,132.72716971945204,-0.01635219105017427,-0.21034880076447848,1.5,30,1.75,1,10,8,0.18451957323518103,26,4,120,4,0.6,True,False,SNR,1,9,523,1.5,637,2,125,100,0.3818131982144315,-0.21100000000001273
5.000000000000004,132.5518437500002,-0.0016124999999931333,-0.00027499999998781277,1.5,30,132.42627280546708,-0.0026459371298415135,0.022272805467082435,0.25,30,132.42498941486647,3.2907451299024615e-05,-0.0012878376092828603,0.25,30,132.53938709415567,-0.0035683441558376217,-5.0162337657866374e-05,1,30,132.42808005604982,-0.00308737432104067,0.0017197236127231008,1.5,30,0.08356342016229447,0.00042910532251203004,-0.0048286070215028815,1,30,45.28068264614668,-2.3460296191133523,-0.46500254248321937,0.25,30,-0.004451719199484189,-0.005389526868173894,8.437402684498274e-05,0.5,30,20.911236256966642,-1.0306892163345687,-4.268916562326293,0.25,30,17.114657302596594,-0.41608633335289014,3.386863845968076,1.5,30,13.009863416318433,-0.5119972016397245,-0.05106752090024358,0.25,30,3400.0,-1962.0,-4041.0,0.5,30,132.5768816,-0.012578399999995327,-0.008038400000003776,1.5,30,132.31643026691617,0.0,0.0,0.5,30,1.5,2.5,18,20,0.06458903274424374,34,4,260,3,0.7,False,False,SNR,1,6,188,2.5,1079,3,75,175,0.21623319965176124,-0.07699999999999818
55.00000000000001,132.85502222222223,0.004244444444424289,0.000488888888838801,1.5,30,133.08521227784686,0.003988827481720136,0.00031637750092272654,1.5,30,133.19362906545825,-0.0027799176310736584,0.00017355756699544145,1.5,30,133.27530568627384,0.0019367647058743387,-0.000470490196079254,0.5,30,133.1339392948433,0.0036246011459297733,0.01180564418979202,0.5,30,0.08192143689286437,0.0002894553860537802,-0.0029185454945743344,1,30,46.33062203325441,0.6536496361848378,-8.386393201288186,1,30,-0.008857473227550518,0.008144378496560058,-0.001782462149884985,0.5,30,21.077289058765764,-1.6262551273212615,1.50811511693842,0.25,30,17.497575897885586,-0.02320908702271396,-2.3241349293183227,1.5,30,14.60556956907612,-0.3158835376194933,-0.05153770563226523,0.5,30,6193.0,-1812.0,-4291.0,0.25,30,132.989,-0.19768527387341805,-0.16550395021960185,1,30,133.29023096709432,0.0,0.0,0.25,30,1.25,2.5,8,8,0.4064716889944641,8,3,160,2,0.5,True,False,SNR,1,8,1025,1.5,1783,1,125,175,0.18620165552533346,-0.23600000000001842
55.00000000000001,132.3962833333335,-0.002266666666656647,-0.00018888888888568545,0.25,30,132.0781214638759,-0.012121463875928384,-0.01089815188899479,0.5,30,132.13323877914246,-0.018372438422176174,-0.016798892529550358,0.5,30,132.29281339285828,-0.0041681818181587005,6.209415587932199e-05,1.5,30,132.16657103972108,-0.005157489216458089,-0.0006457697837731757,0.5,30,0.05807600444434873,-0.005010857777764659,-0.004427020317466453,1.5,30,41.87729356150305,-0.05892622747042253,1.8322967486740893,1.5,30,-0.006239315528489709,0.0008864703329863437,0.0003780126615033734,0.5,30,22.25572368284803,-0.21374113034355346,-0.9477554731569882,1,30,13.853512793781606,-0.49287672331090526,0.8051031254909145,1.5,30,24.199938815539493,-0.12409714734138788,0.03728957536896971,0.25,30,588.0,-724.0,-937.0,0.25,30,132.1420193366335,-0.01577992629262326,0.0017533251436248065,1.5,30,132.24520432357804,-0.018687854644326762,-0.018687854644326762,1,30,1.5,1,8,24,0.42829291544393727,6,3,20,4,0.7,True,False,SNR,1,6,1015,1,415,1,75,125,0.19212058199058715,-0.16399999999998727
30.000000000000004,132.9095277777781,0.0013777777777761457,-0.0002166666666880701,1,30,132.915174808107,0.024825191892972498,0.01976303095253229,0.25,30,132.8699220142161,0.015084264630303323,0.011894813888261524,0.25,30,132.7667607487913,-0.00041183574882097673,0.0003596618357164516,0.5,30,132.84608612384662,0.004046865443768866,0.0010104171567490994,0.5,30,0.04319381579819834,0.0005180108354013307,-0.000206941813846305,0.25,30,63.63665355402538,2.792353660347054,-1.1111936059392136,1,30,0.001886498499964473,0.0019473288758733998,0.0009141345617247748,0.25,30,8.027717191750682,-1.4509223731761711,0.4894628161622645,0.25,30,27.86513741827369,1.3605294561036345,1.2256990677066142,0.25,30,15.740068345458234,0.34560076131643136,0.14727572229698538,0.25,30,1953.0,-509.0,-977.0,1.5,30,132.874,0.004597914983492046,-0.0011351866813527067,0.5,30,132.80695058663528,0.015894306838617922,0.015894306838617922,0.5,30,1.75,2.5,16,28,0.361917213444008,14,6,220,5,0.8,False,False,SNR,1,8,11,1.5,2872,2,125,100,0.30036608184820224,-0.15399999999999636
