HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
0.75,0.5,200,2,60,0.5,100,1,30,1,14,1.5,1,1,0,481,40,0.6,0.08316008316008316,70.3896103896104,-185.0,87.68445758068741,95.09653494829185,1.5,2,0,0,1.0,0,0,0.9529780564263323,1,0,0.9386503067484663,0,0,0,1,0,0.9819277108433735,0,0,0.8524590163934426,0,0,0.9841269841269841,0,0,0.9333333333333333,1,0,0.9541984732824428,0.31603999999997257
0.75,0.5,200,2,60,0.5,100,1,30,1,14,1.5,1,1,0,481,39,0.6410256410256411,0.08108108108108109,55.33596837944664,-305.99999999999994,74.58167390468638,82.82983341550342,1.5,2,0,0,1.0,0,0,0.9575163398692811,0,0,0.9355828220858896,0,0,0,1,0,0.9698795180722891,0,0,0.8448275862068966,0,0,0.9838709677419355,0,0,0.9333333333333333,1,0,0.9523809523809523,-0.37838118400001974
1.25,1,180,2,30,1.5,90,0,15,0,14,1,0.5,1,0.2515939872280723,383,42,0.5952380952380952,0.10966057441253264,65.0,60.0,89.5,100.0,1.5,2.0,1,0,1.0,0,0,0.9356223175965666,0,0,0.9354838709677419,0,0,0,1,0,0.9548872180451128,0,0,0.8518518518518519,1,0,0.94,0,0,0.875,1,0,0.9433962264150944,-0.43550000000000466
0.75,1.5,200,0,40,2,100,0.5,20,0.5,14,1.5,1,1,0.29025923508122414,443,41,0.7073170731707317,0.09255079006772009,74.02597402597402,-185.0,92.20779220779221,100.0,1.5,2,0,0,1.0,1,0,0.948220064724919,1,0,0.9395770392749244,0,0,0,0,0,0.9470588235294117,0,0,0.8805970149253731,0,0,0.9137931034482759,0,0,0.9333333333333333,1,0,0.945179584120983,-0.4184095999999897
1.25,1,180,1.5,40,0.5,90,2,20,2,14,1,0.5,1,0.2515939872280723,487,67,0.6716417910447762,0.1375770020533881,68.62745098039215,-4.0000000000000036,90.58823529411765,100.0,1.5,2.0,0,0,1.0,1,0,0.9285714285714286,1,0,0.9108910891089109,0,0,0,0,0,0.9361702127659575,1,0,0.8611111111111112,0,0,0.9454545454545454,0,0,0.8421052631578947,1,0,0.9242144177449169,-0.6740568618572667
1,0.5,180,0,60,1,90,1.5,30,1.5,14,1.5,1.5,1.5,0.2917309963806834,476,55,0.6727272727272727,0.11554621848739496,46.07843137254902,-4.0000000000000036,75.23798406986074,87.73493522585147,1.5,2.5,0,0,1.0,1,0,0.9385964912280702,0,0,0.9176136363636364,0,0,0,0,0,0.9269662921348315,0,0,0.8769230769230769,0,0,0.9322033898305084,0,0,0.9444444444444444,1,0,0.931098696461825,-0.06386799999998516
1,0.5,180,0,40,1,90,1.5,20,1.5,14,1.5,0,1.5,0.2917309963806834,471,31,0.45161290322580644,0.06581740976645435,45.05494505494506,91.0,77.49165320764538,91.39309955880267,1.5,2.5,0,0,1.0,1,0,0.9727626459143969,1,0,0.9548611111111112,0,0,0,0,0,0.9631901840490797,0,0,0.9310344827586207,0,0,0.9827586206896551,1,0,0.9285714285714286,1,0,0.9727626459143969,-0.2678950882033462
1,2,180,0,50,2,90,1,25,1,14,1.5,1,1.5,0.14212044192761808,396,24,0.7083333333333334,0.06060606060606061,46.666666666666664,30.000000000000004,84.0,100.0,2,2.5,1,0,1.0,0,0,0.9447236180904522,0,0,0.9529914529914529,0,0,0,1,0,0.9393939393939394,0,0,0.8974358974358975,0,0,0.9838709677419355,0,0,0.9230769230769231,1,0,0.9592326139088729,-0.7517750208000251
1.25,0,180,1.5,60,0,90,0.5,30,0.5,14,1,1.5,2,0.41019674352573043,661,70,0.6142857142857143,0.1059001512859304,78.14407814407815,-619.0,91.12785063365091,96.69232455775351,2,3.5,0,1,1.0,1,0,0.9426229508196722,1,0,0.9391100702576113,0,0,0,0,0,0.9380165289256198,0,0,0.9195402298850575,0,0,0.9578947368421052,0,0,0.95,1,0,0.9421265141318977,-0.4680615152477685
1,0.5,180,0,40,0,90,2,20,2,14,0.5,1.5,1.5,0.21511342637609465,485,40,0.575,0.08247422680412371,45.45454545454545,55.00000000000001,79.01565440522458,93.39898681265849,1.5,3.5,1,0,1.0,0,0,0.9680851063829787,1,0,0.9294117647058824,0,0,0,0,0,0.9800995024875622,0,0,0.8985507246376812,0,0,0.953125,0,0,0.8461538461538461,1,0,0.9560229445506692,-0.008499999999997954
1.25,0,180,0.5,40,0,90,2,20,2,14,1.5,0.5,1.5,0.06607618729499659,398,39,0.38461538461538464,0.09798994974874371,96.66666666666667,30.000000000000004,94.87406539772101,94.10580771103002,2,4.0,0,1,1.0,1,0,0.9636363636363636,1,0,0.9516908212560387,0,0,0,1,0,0.9651162790697675,0,0,0.8813559322033898,0,0,1.0,0,0,0.9166666666666666,1,0,0.963855421686747,0
1.25,0,180,0,50,0.5,90,0.5,25,0.5,14,0.5,1.5,2,0.41019674352573043,595,89,0.5280898876404494,0.1495798319327731,99.11330049261083,-815.0,99.02783370492011,98.99120508162409,2,3.0,0,0,1.0,1,0,0.9540816326530612,1,0,0.9382352941176471,0,0,0,1,0,0.9338842975206612,0,0,0.88,1,0,0.9294117647058824,1,0,0.9333333333333333,1,0,0.9273570324574961,0
1.25,0,180,0,50,0.5,90,0.5,25,0.5,14,0.5,1.5,2,0.41019674352573043,593,83,0.6987951807228916,0.1399662731871838,60.43956043956044,91.0,88.13186813186813,100.0,2,3.0,0,1,1.0,1,0,0.952755905511811,1,0,0.9271137026239067,0,0,0,0,1,0.9162995594713657,0,0,0.8115942028985508,0,0,0.9176470588235294,0,0,0.8666666666666667,1,0,0.9118541033434651,0.2328431999999907
1.25,0,180,0,50,0.5,90,0.5,25,0.5,14,0.5,1.5,2,0.41019674352573043,593,84,0.7023809523809523,0.14165261382799327,65.0,60.0,89.5,100.0,2,3.0,0,1,1.0,0,1,0.9533678756476683,0,0,0.9266862170087976,0,0,0,0,0,0.9155555555555556,0,0,0.8115942028985508,1,0,0.9080459770114943,0,0,0.8666666666666667,1,0,0.9104704097116844,-0.2782008763368822
0.75,1.5,180,0,50,2,90,0.5,25,0.5,14,1,2,1.5,0.49076514767933516,467,8,0.75,0.017130620985010708,42.857142857142854,91.0,82.85714285714286,100.0,2.5,3.5,0,0,1.0,1,0,0.9862542955326461,1,0,0.980544747081712,0,0,0,1,0,0.9834254143646409,0,0,0.9807692307692307,1,0,0.9558823529411765,1,0,0.9090909090909091,1,0,0.9881422924901185,0.8011334595428963
0.75,1.5,180,0,50,2,90,0.5,25,0.5,14,1,2,1.5,0.49076514767933516,470,8,0.75,0.01702127659574468,32.967032967032964,91.0,79.89010989010988,100.0,2.5,3.5,0,0,1.0,0,0,0.9873015873015873,0,0,0.9845559845559846,0,0,0,0,0,0.9894179894179894,1,0,0.9607843137254902,0,0,0.96875,0,0,0.9230769230769231,1,0,0.9881422924901185,-0.8796537893014857
0.75,1.5,180,0,50,2,90,0.5,25,0.5,14,1,2,1.5,0.49076514767933516,469,8,0.875,0.017057569296375266,10.0,60.0,73.0,100.0,2.5,3.5,0,0,1.0,0,0,0.993127147766323,1,0,0.9890510948905109,0,0,0,0,0,0.9788359788359788,0,0,0.96,0,0,0.9672131147540983,0,0,0.9230769230769231,1,0,0.9861932938856016,-0.09211687199994856
1.25,0.5,180,1.5,60,2,90,1.5,30,1.5,14,1,0,1,0.2432650146962052,681,60,0.5333333333333333,0.0881057268722467,71.57894736842105,-85.00000000000001,91.47368421052632,100.0,1.5,3.5,1,0,1.0,1,0,0.9513888888888888,0,0,0.9635416666666666,0,0,0,0,0,0.9640287769784173,0,0,0.9583333333333334,0,0,0.9642857142857143,0,0,0.875,1,0,0.9641873278236914,0.1235906
1.25,0.5,180,1.5,60,2,90,1.5,30,1.5,14,1,0,1,0.2432650146962052,690,70,0.5,0.10144927536231885,77.6923076923077,-450.0,93.12310180734796,99.73629928522236,1.5,3.5,0,0,1.0,1,0,0.9444444444444444,1,0,0.961352657004831,0,0,0,0,0,0.9726027397260274,0,0,0.9367088607594937,0,0,0.9873417721518988,0,0,0.9090909090909091,1,0,0.9615384615384616,0.03853949720044625
1.25,0.5,180,1.5,60,2,90,1.5,30,1.5,14,1,0,1,0.2432650146962052,692,76,0.47368421052631576,0.10982658959537572,63.940886699507395,-815.0,70.89298701771146,73.87245858265605,1.5,3.5,1,0,1.0,0,0,0.9450800915331807,1,0,0.9605568445475638,0,0,0,0,0,0.9775641025641025,0,0,0.9342105263157895,0,0,0.9767441860465116,0,0,0.9090909090909091,1,0,0.9602194787379973,0.25618945749131683
0.75,1.5,180,0,30,0,90,0,15,0,14,1,2,2,0.2648143570216732,496,64,0.765625,0.12903225806451613,76.86107159791369,-1909.0,85.1338769918436,88.67936501781354,1.5,2.0,1,0,1.0,0,0,0.9721115537848606,0,0,0.9549180327868853,0,0,0,0,0,0.867579908675799,0,0,0.9076923076923077,0,0,0.8958333333333334,0,0,0.9333333333333333,1,0,0.9107468123861566,0.2858722518512735
0.75,1,180,2,30,2,90,0,15,0,14,1,2,2,0.21662823616025906,571,68,0.6911764705882353,0.1190893169877408,54.54545454545454,55.00000000000001,86.36363636363636,100.0,3,3.5,0,0,1.0,1,0,0.9259259259259259,1,0,0.9090909090909091,0,0,0,0,0,0.94,0,0,0.82,0,0,0.975609756097561,0,0,0.9166666666666666,1,0,0.9273570324574961,0.2336922432179307
0.75,1.5,180,1.5,40,0,90,2,20,2,14,0.5,0.5,1.5,0.17572814400334685,749,90,0.5666666666666667,0.12016021361815754,72.72727272727273,-305.99999999999994,87.12190804254564,93.29103746337691,2,3.0,0,0,1.0,0,0,0.9430255402750491,1,0,0.9191011235955057,0,0,0,0,0,0.9682539682539683,0,0,0.9223300970873787,0,0,1.0,0,0,0.9333333333333333,1,0,0.9400705052878966,0.5847784959999558
1.25,0.5,180,0.5,50,1,90,1.5,25,1.5,14,0.5,0.5,1.5,0.16161001033398115,379,34,0.6176470588235294,0.08970976253298153,64.78405315614619,-3111.0,89.43521594684385,100.0,2.5,4.5,0,0,1.0,0,0,0.9587628865979382,1,0,0.9344978165938864,0,0,0,1,0,0.9358974358974359,0,0,0.9,1,0,0.9076923076923077,0,0,0.8461538461538461,1,0,0.9501187648456056,0.3676244768000174
1.25,0.5,180,0.5,50,1,90,1.5,25,1.5,14,0.5,0.5,1.5,0.16161001033398115,378,38,0.6052631578947368,0.10052910052910052,60.80018501387604,-4124.0,88.24005550416281,100.0,2.5,4.5,1,0,1.0,0,0,0.9587628865979382,0,0,0.9319148936170213,0,0,0,1,0,0.9290322580645162,0,0,0.9,0,0,0.9076923076923077,0,0,0.8461538461538461,1,0,0.9456264775413712,0.602828000000045
