HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
0.75,2,200,1.5,40,1,100,1,20,1,14,1,0.5,1,0,384,15,0.5333333333333333,0.0390625,66.17647058823529,-4.0000000000000036,86.04334856728994,94.55772484402766,1.5,2.5,0,0,1.0,0,0,0.9656862745098039,1,0,0.976303317535545,0,0,0,0,0,0.9864864864864865,0,0,0.9574468085106383,0,0,1.0,0,0,1.0,1,0,0.9828009828009828,129.39551933772964
0.75,2,200,1.5,40,1,100,1,20,1,14,1,0.5,1,0,387,16,0.5625,0.041343669250646,69.82456140350877,-85.00000000000001,88.81547492819087,96.95443786734035,1.5,2.5,0,0,1.0,0,0,0.9669811320754716,0,0,0.9759615384615384,0,0,0,0,0,0.9862068965517241,0,0,0.9591836734693877,0,0,1.0,1,0,0.9473684210526315,1,0,0.9803921568627451,163.5991656481765
0.75,2,200,1.5,40,1,100,1,20,1,14,1,0.5,1,0,389,10,0.9,0.02570694087403599,71.2280701754386,-85.00000000000001,90.49502340091571,98.75228906897733,1.5,2.5,0,0,1.0,0,0,0.9696969696969697,1,0,0.971830985915493,0,0,0,1,0,0.9763313609467456,0,0,0.9782608695652174,0,0,1.0,0,0,0.9230769230769231,1,0,0.9803921568627451,-124.25000000000182
0.75,2,200,1.5,40,1,100,0,20,0,14,1,0.5,2,0,579,21,0.6190476190476191,0.03626943005181347,60.07326007326007,-619.0,86.14245053374574,97.31496073109676,1.5,2.5,0,0,1.0,1,0,0.971875,1,0,0.9779179810725552,0,0,0,1,0,0.9782608695652174,0,0,0.9436619718309859,1,0,0.9761904761904762,0,0,0.9090909090909091,1,0,0.9787928221859706,41.14799999999741
1,1.5,180,0.5,30,1.5,90,0.5,15,0.5,14,1.5,1,1,0.007111341744290289,662,13,0.6923076923076923,0.019637462235649546,40.0,-85.00000000000001,81.54639853088021,99.35199790125743,3,4.0,0,0,1.0,1,0,0.9911242603550295,1,0,0.9917582417582418,0,0,0,0,0,0.98046875,0,0,0.9733333333333334,0,0,0.9702970297029703,0,0,1.0,1,0,0.9873060648801129,0
1.25,1.5,180,0.5,60,1,90,0.5,30,0.5,14,0.5,1.5,1,0.2739981007960346,760,29,0.7931034482758621,0.038157894736842106,60.43956043956044,91.0,88.13186813186813,100.0,3,3.5,1,0,1.0,0,0,0.9728682170542635,0,0,0.9779116465863453,0,0,0,1,0,0.9728813559322034,0,0,0.9506172839506173,0,0,0.9401709401709402,0,0,0.8928571428571429,1,0,0.9720534629404617,123.0022400000089
1.25,1.5,180,0.5,60,1,90,0.5,30,0.5,14,0.5,1.5,1,0.2739981007960346,758,27,0.8148148148148148,0.03562005277044855,60.43956043956044,91.0,88.13186813186813,100.0,3,3.5,0,0,1.0,1,0,0.97265625,0,0,0.9807321772639692,0,0,0,0,0,0.9721254355400697,0,0,0.9523809523809523,0,0,0.9459459459459459,0,0,0.8888888888888888,1,0,0.9732360097323601,-108.44999999999163
