HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
1,1.5,200,1,60,1,100,1,30,1,14,1,1,1,0.292299576751429,478,21,0.23809523809523808,0.043933054393305436,38.18181818181819,55.00000000000001,73.82758502382312,89.10434224182524,1.5,3.5,0,0,1.0,1,0,0.9869281045751634,1,0,0.9845679012345679,0,0,0,1,0,0.9883040935672515,0,0,1.0,0,0,1.0,0,0,1.0,1,0,0.9900990099009901,113.83981439999116
1,0.5,180,2,40,2,90,0.5,20,0.5,14,1,1.5,1,0.3825898427732046,785,98,0.07142857142857142,0.12484076433121019,65.0,60.0,89.5,100.0,3,3.5,0,1,1.0,0,0,0.9861660079051383,1,0,0.9850427350427351,0,0,0,0,0,0.9821428571428571,0,0,1.0,0,0,0.9826086956521739,0,0,1.0,1,0,0.9913258983890955,0
1,0,180,2,40,2,90,0.5,20,0.5,14,1.5,1.5,1,0.3825898427732046,777,109,0.027522935779816515,0.1402831402831403,100.0,14.000000000000002,100.0,100.0,2.5,4.5,0,0,1.0,1,0,0.9934065934065934,0,0,0.9933184855233853,0,0,0,0,0,0.9924242424242424,0,0,1.0,0,0,1.0,0,0,1.0,1,0,0.9962640099626401,0
1,0,180,0,50,0.5,90,2,25,2,14,1.5,2,1.5,0.2889974139813651,395,94,0.22340425531914893,0.2379746835443038,57.54385964912281,-85.00000000000001,76.12282959605909,84.08524528760321,2.5,4.0,0,1,1.0,1,0,0.9609375,1,0,0.9563492063492064,0,0,0,0,0,0.9645390070921985,0,0,0.9428571428571428,1,0,0.9384615384615385,0,0,1.0,1,0,0.9501187648456056,-47.10422231447592
1.25,0.5,180,0,50,2,90,1.5,25,1.5,14,0.5,1,2,0.3041432622591025,492,107,0.14953271028037382,0.21747967479674796,81.42857142857143,60.0,85.1889725156531,86.80057298154526,3,4.5,0,0,1.0,1,0,0.9772727272727273,1,0,0.9704918032786886,0,0,0,0,0,0.9763313609467456,0,0,0.9791666666666666,0,0,0.9855072463768116,0,0,1.0,1,0,0.9689922480620154,0
1.25,0.5,180,0,50,2,90,1.5,25,1.5,14,0.5,1,2,0.3041432622591025,493,110,0.14545454545454545,0.2231237322515213,81.42857142857143,60.0,85.18897251481742,86.80057298035143,3,4.5,1,0,1.0,0,0,0.9771986970684039,0,0,0.9693877551020408,0,0,0,0,0,0.9763313609467456,0,0,0.9795918367346939,0,0,0.9852941176470589,0,0,1.0,1,0,0.9689922480620154,0
1.25,0.5,180,0,50,2,90,1.5,25,1.5,14,0.5,1,2,0.3041432622591025,495,113,0.1504424778761062,0.22828282828282828,55.88235294117647,-4.0000000000000036,77.52510697008275,86.80057298247115,3,4.5,0,1,1.0,1,0,0.9743589743589743,1,0,0.9673202614379085,0,0,0,1,0,0.9722222222222222,0,0,0.9782608695652174,0,0,0.9861111111111112,0,0,1.0,1,0,0.9671179883945842,-32.582140985205115
0.75,0,180,0,50,0,90,2,25,2,14,0.5,2,1.5,0.2889974139813651,579,48,0.0625,0.08290155440414508,92.85714285714286,14.000000000000002,94.84947788284464,95.70333575100256,2,3.5,0,0,1.0,1,0,0.9943342776203966,1,0,0.9943661971830986,0,0,0,1,0,0.9906976744186047,0,0,0.9811320754716981,1,0,1.0,1,0,1.0,1,0,0.9950248756218906,0
0.75,0,180,0,50,0,90,2,25,2,14,0.5,2,1.5,0.2889974139813651,584,64,0.109375,0.1095890410958904,52.72727272727272,55.00000000000001,84.26261704109407,97.77776460416038,2,3.5,0,1,1.0,0,1,0.9882075471698113,0,0,0.9870801033591732,0,0,0,0,0,0.9769585253456221,0,0,0.9767441860465116,0,0,0.9702970297029703,0,0,1.0,1,0,0.9884678747940692,-25.90879858752487
1.25,2,180,2,60,2,90,1.5,30,1.5,14,1,1,1,0.20969812090186274,489,92,0.11956521739130435,0.18813905930470348,92.85714285714286,14.000000000000002,93.73875286366663,94.11658572360541,3,4.5,1,0,1.0,1,0,0.9759358288770054,1,0,0.975975975975976,0,0,0,1,0,0.9723756906077348,0,0,1.0,0,0,0.967391304347826,0,0,0.9473684210526315,1,0,0.9784735812133072,0
