ALPINEUSD
XTZUSD
XMRUSD
REPUSD
OXTUSD
MKRUSD
LEOUSD
JUVUSD
INJUSD
HNTUSD
CVXUSD
BSVUSD
BNBUSD
ATMUSD
ASRUSD
ANTUSD
ACMUSD
THETAUSD
SUSHIUSD
SANDUSD
LINKUSD
IOTAUSD
UMAUSD
PSGUSD
KSMUSD
KNCUSD
ICPUSD
AXSUSD
UNIUSD
AVAXUSD
ATOMUSD
YFIUSD
FILUSD
CRVUSD
MANAUSD
LUNA2USD
SNXUSD
DOTUSD
OMGUSD
AAVEUSD
APEUSD
ETCUSD
SOLUSD
0XUSD
CIX
LTCEUR
EOSUSD
BCHUSD
QTUMUSD
ETHEUR
XLMUSD
NEOUSD
LTCUSD
XRPEUR
BTCEUR
BTCUSD
ETHUSD
