HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
1,0,200,0,50,1.5,0,0.5,0,0.5,14,1,1,0.5,1,0,385,13,0.6153846153846154,0.033766233766233764,55.88235294117647,-4.0000000000000036,74.70086445428109,87.24653879635083,1.5,2,0,0,1.0,1,0,0.978494623655914,1,0,0.9733333333333334,0,0,0,0,0,0.9805825242718447,0,0,0,1,0,0.9696969696969697,0,0,0.958904109589041,0,0,0.95,1,0,0.9803921568627451,-0.2278416836335566
1,1,200,0,60,2,0,0.5,0,0.5,14,1.5,0.5,0.5,2,0,676,18,0.7222222222222222,0.026627218934911243,79.36507936507937,-619.0,91.74603174603175,100.0,1.5,3.5,0,1,1.0,0,0,0.9697885196374623,1,0,0.9739952718676123,0,0,0,0,0,0.9887640449438202,0,0,0,0,0,0.9746835443037974,0,0,0.976,0,0,0.967741935483871,1,0,0.9817671809256662,0.1948336000000097
1,1,200,0,60,2,0,0.5,0,0.5,14,1.5,0.5,0.5,2,0,674,24,0.5833333333333334,0.03560830860534125,66.50246305418719,-815.0,86.60098522167488,100.0,1.5,3.5,0,0,1.0,0,0,0.9721362229102167,0,0,0.9753363228699552,0,0,0,1,0,0.9887005649717514,0,0,0,1,0,0.972972972972973,0,0,0.9854014598540146,0,0,0.9714285714285714,1,0,0.9803921568627451,0.31861996800000725
1,1,200,0,60,2,0,0.5,0,0.5,14,1.5,0.5,0.5,2,0,677,24,0.625,0.03545051698670606,81.85483870967742,-1040.0,92.74193548387098,100.0,1.5,3.5,0,0,1.0,1,0,0.9690402476780186,1,0,0.9752808988764045,0,0,0,0,0,0.9884726224783862,0,0,0,0,0,0.9657534246575342,1,0,0.9790209790209791,0,0,0.9722222222222222,1,0,0.9790209790209791,0.23435655541385358
1,1,200,0,60,2,0,0.5,0,0.5,14,1.5,0.5,0.5,2,0,674,17,0.6470588235294118,0.025222551928783383,76.08695652173914,-305.99999999999994,90.43478260869566,100.0,1.5,3.5,1,0,1.0,1,0,0.9810725552050473,1,0,0.9835680751173709,0,0,0,0,1,0.9887323943661972,0,0,0,1,0,0.967948717948718,0,0,0.9921259842519685,0,0,1.0,1,0,0.9845288326300985,0.020999999999986585
1,0.5,180,1,30,1.5,1,1.5,1,1.5,14,1.5,0.5,1.5,2,1,781,24,0.75,0.030729833546734954,70.27027027027027,-1909.0,87.13453752753237,98.37738236570712,1.5,3.5,0,0,1.0,1,0,0.976303317535545,1,0,0.9705304518664047,0,0,0,0,0,0.9874686716791979,0,0,0,0,0,0.9629629629629629,0,0,0.9772727272727273,0,0,1.0,1,0,0.9779951100244498,0.27204000000000406
1,0.5,180,1,30,1.5,1,1.5,1,1.5,14,1.5,0.5,1.5,2,1,781,25,0.72,0.03201024327784891,84.40018966334756,-1909.0,93.43512972014993,99.4584230913515,1.5,3.5,0,0,1.0,1,0,0.9748283752860412,1,0,0.968503937007874,0,0,0,1,0,0.9870801033591732,0,0,0,0,0,0.9580838323353293,1,0,0.9795918367346939,0,0,1.0,1,0,0.9779951100244498,0.2840400000000045
1,0.5,180,1,30,1.5,1,1.5,1,1.5,14,1.5,0.5,1.5,2,1,780,26,0.6153846153846154,0.03333333333333333,82.88770053475936,-1296.0,93.15508021390374,100.0,1.5,3.5,0,0,1.0,0,0,0.9766949152542372,1,0,0.9707602339181286,0,0,0,1,0,0.9867021276595744,0,0,0,0,0,0.9708029197080292,0,0,0.9783783783783784,0,0,1.0,1,0,0.9803921568627451,0.21671999999998093
1,0.5,180,1,30,1.5,1,1.5,1,1.5,14,1.5,0.5,1.5,2,1,776,20,0.6,0.02577319587628866,77.84615384615384,-450.0,91.13846153846154,100.0,1.5,3.5,0,0,1.0,1,0,0.9764957264957265,1,0,0.9755102040816327,0,0,0,0,0,0.9895287958115183,0,0,0,0,0,0.9856115107913669,1,0,0.9781420765027322,0,0,1.0,1,0,0.9852216748768473,0.21099750257610594
1,0.5,180,1,30,1.5,1,1.5,1,1.5,14,1.5,0.5,1.5,2,1,771,11,0.5454545454545454,0.014267185473411154,60.43956043956044,91.0,84.17582417582418,100.0,1.5,3.5,0,1,1.0,1,0,0.9880668257756563,1,0,0.9868421052631579,0,0,0,0,0,0.9917127071823204,0,0,0,0,0,1.0,0,0,0.9842105263157894,0,0,1.0,1,0,0.9925558312655087,0.13155999999997903
1,0.5,180,1,30,1.5,1,1.5,1,1.5,14,1.5,0.5,1.5,2,1,771,11,0.6363636363636364,0.014267185473411154,65.0,60.0,86.0,100.0,1.5,3.5,0,1,1.0,1,0,0.9853658536585366,1,0,0.9849137931034483,0,0,0,0,0,0.991869918699187,0,0,0,0,0,1.0,0,0,0.984375,0,0,1.0,1,0,0.9913258983890955,0.3297113596557324
1,0.5,180,1,30,1.5,1,1.5,1,1.5,14,1.5,0.5,1.5,2,1,776,25,0.56,0.03221649484536082,77.14285714285715,-815.0,90.85714285714286,100.0,1.5,3.5,0,0,1.0,1,0,0.9711286089238845,1,0,0.9756637168141593,0,0,0,0,0,0.9862258953168044,0,0,0,0,0,1.0,0,0,0.9655172413793104,1,0,0.9666666666666667,1,0,0.9828009828009828,0.09229003800206215
1,0.5,180,1,30,1.5,1,1.5,1,1.5,14,1.5,0.5,1.5,2,1,776,26,0.5769230769230769,0.03350515463917526,78.95161290322581,-1040.0,91.58064516129032,100.0,1.5,3.5,0,0,1.0,1,0,0.9690721649484536,1,0,0.9740820734341252,0,0,0,1,0,0.9836512261580381,0,0,0,0,0,1.0,1,0,0.9602272727272727,0,0,0.9666666666666667,1,0,0.9815950920245399,0.12888000000000943
1,0.5,180,1,30,1.5,1,1.5,1,1.5,14,1.5,0.5,1.5,2,1,776,27,0.5925925925925926,0.03479381443298969,80.4812834224599,-1296.0,92.19251336898397,100.0,1.5,3.5,0,0,1.0,0,0,0.9689922480620154,0,0,0.9736842105263158,0,0,0,0,0,0.9834710743801653,0,0,0,1,0,0.99375,0,0,0.9590643274853801,0,0,0.9629629629629629,1,0,0.9803921568627451,-0.27339048830566526
1.25,1,180,1,40,1,1,0,1,0,14,1.5,1.5,0,1.5,1,664,11,0.45454545454545453,0.016566265060240965,52.72727272727272,55.00000000000001,78.21788351549846,95.21162404098227,2,3.0,1,0,1.0,1,0,0.9947229551451188,1,0,0.9927536231884058,0,0,0,0,0,0.9905362776025236,0,0,0,1,0,0.9934640522875817,0,0,0.984375,0,0,1.0,1,0,0.9929078014184397,0.04957350000000815
1.25,1,180,1,40,1,1,0,1,0,14,1.5,1.5,0,1,1,661,18,0.7222222222222222,0.02723146747352496,61.78266178266178,-619.0,84.71306471306471,100.0,3,3.5,0,0,1.0,1,0,0.9834123222748815,1,0,0.9788235294117648,0,0,0,0,0,0.9871382636655949,0,0,0,0,0,0.9868421052631579,0,0,0.975609756097561,0,0,0.9705882352941176,1,0,0.9817671809256662,0.2621810002944187
1,1,180,1,40,1,1,0,1,0,14,1.5,0.5,0,1,1,466,12,0.6666666666666666,0.02575107296137339,44.6078431372549,-4.0000000000000036,77.84313725490196,100.0,3,3.5,0,0,1.0,1,0,0.9878419452887538,1,0,0.9834983498349835,0,0,0,0,0,0.9804878048780488,0,0,0,1,0,0.9830508474576272,0,0,0.9705882352941176,0,0,0.9642857142857143,1,0,0.984251968503937,0.1735396289467701
1,1,180,1,40,1,1,0,1,0,14,1.5,0.5,0,1,1,478,9,0.5555555555555556,0.01882845188284519,54.54545454545454,55.00000000000001,81.81818181818181,100.0,3,3.5,0,0,1.0,1,0,0.986737400530504,1,0,0.984472049689441,0,0,0,1,0,0.9862385321100917,0,0,0,0,0,0.9754098360655737,1,0,0.9882352941176471,0,0,1.0,1,0,0.9900990099009901,0.2562599999999975
1,1,180,1,40,1,1,0,1,0,14,1.5,0.5,0,1,1,483,6,0.6666666666666666,0.012422360248447204,46.666666666666664,30.000000000000004,78.66666666666666,100.0,3,3.5,0,0,1.0,1,0,0.9857651245551602,1,0,0.9867986798679867,0,0,0,1,0,0.9873417721518988,0,0,0,1,0,0.975,0,0,0.9891304347826086,0,0,1.0,1,0,0.9920634920634921,0.2543472310154584
1,1,180,1,40,1,1,0,1,0,14,1.5,0.5,0,1,1,482,6,0.6666666666666666,0.012448132780082987,46.666666666666664,30.000000000000004,78.66666666666666,100.0,3,3.5,0,0,1.0,1,0,0.9858156028368794,1,0,0.9876923076923076,0,0,0,1,0,0.9831223628691983,0,0,0,0,0,0.9821428571428571,1,0,0.9795918367346939,0,0,1.0,1,0,0.9920634920634921,0.22192745967888072
1.25,1.5,180,1,40,2,1,1,1,1,14,2,0.5,1,2,1,789,19,0.7368421052631579,0.024081115335868188,47.783251231527096,-815.0,75.62383584606707,94.18422558909371,2,3.5,0,0,1.0,1,0,0.9732313575525813,1,0,0.9729206963249516,0,0,0,1,0,0.9832869080779945,0,0,0,0,0,0.9662921348314607,1,0,0.9741935483870968,0,0,1.0,1,0,0.9828009828009828,0.1361999999999739
