HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
1,1.5,180,0,30,0.5,0,0,0,0,14,1.5,0.5,0,1,0,760,21,0.6190476190476191,0.02763157894736842,78.75457875457876,-619.0,90.90439064720854,99.00426524229508,2,2.5,1,0,1.0,0,0,0.9776286353467561,0,0,0.9772209567198178,0,0,0,0,0,0.9922279792746114,0,0,0,0,0,0.967948717948718,0,0,0.9882352941176471,0,0,1.0,1,0,0.984009840098401,-0.08739454699428961
1,0,180,2,40,0,2,2,2,2,14,0.5,0.5,2,1,2,689,24,0.6666666666666666,0.03483309143686502,67.8475935828877,-1296.0,87.13903743315508,100.0,3,4.0,0,0,1.0,0,0,0.979498861047836,0,0,0.9664082687338501,0,0,0,1,0,0.9767441860465116,0,0,0,0,0,0.9701492537313433,1,0,0.9451219512195121,0,0,0.95,1,0,0.9776536312849162,-0.30802385824520684
1,0,180,0,60,0.5,0,0,0,0,14,0,0.5,0,2,0,788,54,0.5555555555555556,0.06852791878172589,75.61078794288736,-9255.0,84.01538617733632,89.61845166696897,2.5,3.5,0,0,1.0,0,0,0.9655172413793104,0,0,0.955193482688391,0,0,0,0,0,0.9725,0,0,0,0,0,0.9487179487179487,0,0,0.956989247311828,0,0,0.896551724137931,1,0,0.963855421686747,0.07642469226723847
1,0,180,0,60,0.5,0,0,0,0,14,0,0.5,0,2,0,788,49,0.5714285714285714,0.06218274111675127,75.65465387606949,-7514.0,85.60402107738454,92.2369325449279,2.5,3.5,1,0,1.0,0,0,0.9719101123595506,0,0,0.9627329192546584,0,0,0,0,0,0.9725,0,0,0,0,0,0.9735099337748344,0,0,0.9510869565217391,0,0,0.8888888888888888,1,0,0.966183574879227,-0.31686260379692044
1,0,180,0,60,0.5,0,0,0,0,14,0,0.5,0,2,0,787,44,0.5681818181818182,0.05590851334180432,75.56561085972851,-5325.0,78.94304906552027,81.19467453604811,2.5,3.5,0,0,1.0,0,0,0.9734345351043643,1,0,0.9642857142857143,0,0,0,1,0,0.9723618090452262,0,0,0,0,0,0.9673202614379085,0,0,0.9560439560439561,0,0,0.8846153846153846,1,0,0.9696969696969697,0.018560000000007904
1,0,180,0,60,0.5,0,0,0,0,14,0,0.5,0,2,0,787,45,0.5777777777777777,0.05717916137229987,77.40686985970004,-6001.0,81.06425005584701,83.50250351994501,2.5,3.5,0,0,1.0,0,0,0.9732824427480916,0,0,0.9641350210970464,0,0,0,1,0,0.97,0,0,0,1,0,0.9615384615384616,0,0,0.9558011049723757,0,0,0.8888888888888888,1,0,0.9685230024213075,-0.5005206778073301
0.75,1.5,180,0,40,1.5,0,2,0,2,14,1.5,0.5,2,1.5,0,380,8,1.0,0.021052631578947368,68.13725490196079,-4.0000000000000036,86.6534221625532,98.9975336696148,1.5,3.5,1,0,1.0,1,0,0.9819004524886877,1,0,0.9806201550387597,0,0,0,0,0,0.9814814814814815,0,0,0,0,0,0.9529411764705882,0,0,0.9879518072289156,0,0,0.9285714285714286,1,0,0.9803921568627451,0.07174824097722876
0.75,1.5,180,0,40,1.5,0,2,0,2,14,1.5,0.5,2,1.5,0,381,8,1.0,0.02099737532808399,68.62745098039215,-4.0000000000000036,87.45098039215686,100.0,1.5,3.5,1,0,1.0,0,0,0.9820627802690582,0,0,0.98,0,0,0,0,1,0.985981308411215,0,0,0,0,0,0.9625,1,0,0.9767441860465116,0,0,0.9411764705882353,1,0,0.9803921568627451,0.011999999999986244
0.75,1.5,180,0,40,1.5,0,2,0,2,14,1.5,0.5,2,1.5,0,378,8,1.0,0.021164021164021163,68.62745098039215,-4.0000000000000036,87.45098039215686,100.0,1.5,3.5,0,0,1.0,0,0,0.9849246231155779,0,0,0.983402489626556,0,0,0,1,0,0.9863013698630136,0,0,0,0,0,0.9736842105263158,0,0,0.9782608695652174,0,0,1.0,1,0,0.9803921568627451,-0.34704344597150794
0.75,0.5,180,0,40,1.5,0,2,0,2,14,1.5,1,2,1.5,0,489,21,0.7619047619047619,0.04294478527607362,76.13636363636364,-1296.0,80.13989648344527,82.80891838149968,3,4.5,0,0,1.0,1,0,0.9775280898876404,1,0,0.9657320872274143,0,0,0,1,0,0.9608540925266904,0,0,0,1,0,0.9433962264150944,0,0,0.9339622641509434,0,0,0.9473684210526315,1,0,0.9689922480620154,0.19640000000001123
