HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
1,2,200,0,40,0,0,1,0,1,14,1,1,1,1.5,0,800,10,1.0,0.0125,67.53246753246754,-185.0,79.88454933693251,88.11927053990915,1.5,2,0,0,1.0,0,0,0.9948320413436692,0,0,0.9880239520958084,0,0,0,0,0,0,0,0,0.9930875576036866,1,0,0.9813829787234043,0,0,0,1,0,0.9876543209876543,0.12972591215503826
1,2,200,0,40,0,0,1,0,1,14,1,1,1,1.5,0,800,13,1.0,0.01625,58.730158730158735,-619.0,70.10920824509193,77.69524125504742,1.5,2,0,0,1.0,0,0,0.995,0,0,0.9845559845559846,0,0,0,0,0,0,1,0,0.9903614457831326,0,0,0.9773869346733668,0,0,0,1,0,0.984009840098401,-0.23658138046667432
0.75,1,180,1,30,0,1,0,1,0,14,0.5,1.5,0,1,1,751,4,1.0,0.005326231691078562,46.666666666666664,30.000000000000004,78.66666666666666,100.0,1.5,2,1,0,1.0,1,0,0.9947916666666666,1,0,0.9942084942084942,0,0,0,0,0,0,1,0,0.9952718676122931,0,0,0.994750656167979,0,0,0,1,0,0.9950248756218906,0.2942787760193539
0.75,1,180,1,30,0,1,0,1,0,14,0.5,1.5,0,1,1,749,7,1.0,0.009345794392523364,65.0,60.0,86.0,100.0,1.5,2,0,0,1.0,1,0,0.9907834101382489,1,0,0.9906367041198502,0,0,0,0,0,0,0,0,0.9929577464788732,1,0,0.9921052631578947,0,0,0,1,0,0.9913258983890955,-0.22474593279449095
1.25,1.5,180,0,30,0,0,0.5,0,0.5,14,1,1,0.5,1,0,793,3,1.0,0.0037831021437578815,35.714285714285715,14.000000000000002,74.28571428571429,100.0,1.5,2.0,0,0,1.0,1,0,0.997946611909651,1,0,0.9963369963369964,0,0,0,0,0,0,0,0,1.0,1,0,0.9935205183585313,0,0,0,1,0,0.9962640099626401,-0.21107873614684536
0.75,2,180,1,50,0,1,0,1,0,14,1,1,0,2,1,800,5,1.0,0.00625,47.27272727272727,55.00000000000001,70.39566447885193,85.81095594960169,2,2.5,0,0,1.0,1,0,0.9955849889624724,1,0,0.9962476547842402,0,0,0,0,0,0,0,0,0.9971910112359551,1,0,0.9933035714285714,0,0,0,1,0,0.9937888198757764,-0.23681538737494634
0.75,2,180,1,50,0,1,0,1,0,14,1,1,0,2,1,800,6,1.0,0.0075,54.94505494505495,91.0,76.95413253180382,91.62685092296972,2,2.5,1,0,1.0,0,0,0.9976470588235294,0,0,0.9941972920696325,0,0,0,0,0,0,0,1,0.9947780678851175,0,0,0.995249406175772,0,0,0,1,0,0.9925558312655087,-0.2010085602042011
1.25,2,180,2,40,0.5,2,1,2,1,14,2,2,1,2,2,790,8,0.75,0.010126582278481013,54.94505494505495,91.0,78.27224238874598,93.82370068454,1.5,3.5,0,0,1.0,0,0,0.9949874686716792,0,0,0.9920318725099602,0,0,0,0,0,0,0,0,0.9951338199513382,1,0,0.9898734177215189,0,0,0,1,0,0.9925558312655087,-0.09117566238785457
0.75,2,180,2,40,0.5,2,1,2,1,14,1,2,1,2,2,752,14,0.7857142857142857,0.018617021276595744,65.21739130434783,-305.99999999999994,77.62654495728785,85.89931405924787,1.5,2.0,1,0,1.0,1,0,0.9866310160427807,1,0,0.9847908745247148,0,0,0,0,0,0,1,0,0.9865470852017937,0,0,0.9863013698630136,0,0,0,1,0,0.9864364981504316,-0.26853724824064784
1.25,2,180,0,50,0.5,0,1,0,1,14,1,2,1,1,0,768,5,0.8,0.006510416666666667,46.666666666666664,30.000000000000004,78.66666666666666,100.0,2.5,3.5,0,0,1.0,1,0,0.9975247524752475,1,0,0.996031746031746,0,0,0,0,0,0,1,0,0.9954337899543378,0,0,0.994535519125683,0,0,0,1,0,0.9950248756218906,0.27577635459908834
1.25,1.5,180,0,40,2,0,1,0,1,14,0.5,2,1,1.5,0,788,9,1.0,0.011421319796954314,54.385964912280706,-85.00000000000001,70.81543099156833,81.76840837776008,1.5,2.0,0,0,1.0,1,0,0.9826923076923076,1,0,0.9851851851851852,0,0,0,0,0,0,0,0,0.9847494553376906,1,0,0.9942857142857143,0,0,0,1,0,0.9888751545117429,-0.09750072893240258
0.75,0.5,180,0,50,1,0,0,0,0,14,0,1.5,0,1.5,0,721,22,0.9545454545454546,0.030513176144244106,71.76079734219269,-3111.0,81.74007779482247,88.392931429909,3,4.0,1,0,1.0,1,0,0.9692898272552783,1,0,0.9675767918088737,0,0,0,0,0,0,0,0,0.9865591397849462,1,0,0.9686800894854586,0,0,0,1,0,0.97442143727162,-0.17232979578238883
1,0,180,2,40,2,2,1,2,1,14,2,2,1,2,2,767,6,1.0,0.007822685788787484,45.05494505494506,91.0,69.81305143515011,86.31845568862015,1.5,3.5,0,0,1.0,0,0,0.9919678714859438,1,0,0.9893048128342246,0,0,0,0,0,0,1,0,0.9973404255319149,0,0,0.9883720930232558,0,0,0,1,0,0.9925558312655087,-0.11253899986522242
0.75,0.5,180,2,40,0,2,1.5,2,1.5,14,1.5,2,1.5,2,2,798,16,1.0,0.020050125313283207,67.17914438502673,-1296.0,79.27301085935167,87.33558850890162,2.5,4.5,1,0,1.0,0,0,0.9777327935222672,1,0,0.9724137931034482,0,0,0,0,0,0,0,0,0.9829059829059829,1,0,0.978494623655914,0,0,0,1,0,0.9803921568627451,0.34572861483141537
